Journal Code,"Online
ISSN",Journal Title,Full Article Publication Charge,Unnamed: 4,Unnamed: 5,Discounted APC for Society Members,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
CYTO,1552-4957,Cytometry Part B: Clinical Cytometry,3000,2000,2500,,,,,CYTO
CYT,1365-2303,Cytopathology,3400,2250,2850,,,,,CYT
CM,1949-3592,Cytoskeleton,3400,2250,2850,,,,,CM
DECI,1540-5915,Decision Sciences,2500,1650,2100,,,,,DECI
DSJI,1540-4609,Decision Sciences Journal of Innovative Education,2500,1650,2100,,,,,DSJI
EDT,1600-9657,Dental Traumatology,3300,2200,2750,,,,,EDT
DMFR,1476-542X,DentoMaxilloFacial Radiology,2850,2100,2315,,,,,DMFR
DA,1520-6394,Depression and Anxiety,3800,2550,3150,,,,,DA
DTH,1529-8019,Dermatologic Therapy,3400,2250,2850,,,,,DTH
DER2,2637-7489,Dermatological Reviews,3000,2000,2500,,,,,DER2
DMJ,1948-7177,Design Management Journal,2500,1650,2100,,,,,DMJ
DREV,1948-7169,Design Management Review,2500,1650,2100,,,,,DREV
DEWB,1471-8847,Developing World Bioethics,3300,2200,2750,,,,,DEWB
DECH,1467-7660,Development and Change,3600,2400,3000,,,,,DECH
DPR,1467-7679,Development Policy Review,3000,2000,2500,,,,,DPR
DGD,1440-169X,"Development, Growth & Differentiation",3800,2533,3167,2850,1900,2375,,DGD
DVDY,1097-0177,Developmental Dynamics,3660,2900,3300,,,,,DVDY
DMCN,1469-8749,Developmental Medicine & Child Neurology,4200,2800,3500,,,,,DMCN
DNEU,1932-846X,Developmental Neurobiology,3900,2600,3250,,,,,DNEU
DEV,1098-2302,Developmental Psychobiology,3400,2250,2850,,,,,DEV
DESC,1467-7687,Developmental Science,3800,2550,3150,,,,,DESC
DOM,1463-1326,"Diabetes, Obesity and Metabolism",4700,3350,4050,,,,,DOM
DMRR,1520-7560,Diabetes/Metabolism Research and Reviews,4100,2700,3450,,,,,DMRR
DME,1464-5491,Diabetic Medicine,4400,2933,3667,,,,,DME
DC,1097-0339,Diagnostic Cytopathology,3200,2150,2650,,,,,DC
DIAL,1540-6385,Dialog,2500,1667,2083,,,,,DIAL
TGER,1756-1221,Die Unterrichtspraxis/Teaching German,2500,1650,2100,,,,,TGER
DOME,1949-3606,Digest of Middle East Studies,2500,1650,2100,,,,,DOME
DEN,1443-1661,Digestive Endoscopy,3600,2400,3000,,,,,DEN
DISA,1467-7717,Disasters,3300,2200,2750,,,,,DISA
DAR,1465-3362,Drug and Alcohol Review,3400,2267,2833,,,,,DAR
DDR,1098-2299,Drug Development Research,2900,1950,2400,,,,,DDR
DTA,1942-7611,Drug Testing and Analysis,4300,2867,3583,,,,,DTA
DYS,1099-0909,Dyslexia,3000,2000,2500,,,,,DYS
EIP,1751-7893,Early Intervention in Psychiatry,4100,2750,3400,,,,,EIP
EMED,1468-0254,Early Medieval Europe,2500,1667,2083,,,,,EMED
ESP,1096-9837,Earth Surface Processes and Landforms,4200,2800,3500,,,,,ESP
EQE,1096-9845,Earthquake Engineering & Structural Dynamics,3900,2600,3250,,,,,EQE
ECHO,1540-8175,Echocardiography,2700,1800,2250,,,,,ECHO
ECO,1936-0592,Ecohydrology,4000,2650,3350,,,,,ECO
EAP,1939-5582,Ecological Applications,3300,2200,2750,2500,1667,2083,,EAP
EEN,1365-2311,Ecological Entomology,3600,2400,3000,,,,,EEN
EMR,1442-8903,Ecological Management & Restoration,2500,1667,2083,,,,,EMR
ECM,1557-7015,Ecological Monographs,3300,2200,2750,2500,1667,2083,,ECM
ERE,1440-1703,Ecological Research,3000,2000,2500,,,,,ERE
ECY,1939-9170,Ecology,3300,2200,2750,2500,1667,2083,,ECY
ELE,1461-0248,Ecology Letters,4800,3200,4000,,,,,ELE
EFF,1600-0633,Ecology of Freshwater Fish,3600,2400,3000,,,,,EFF
ECTA,1468-0262,Econometrica,4500,3400,3900,,,,,ECTA
ECCA,1468-0335,Economica,2500,2172,1914,,,,,ECCA
ECAF,1468-0270,Economic Affairs,2500,1650,2100,,,,,ECAF
SEA2,2330-4847,Economic Anthropology,3000,2000,2500,,,,,SEA2
ECIN,1465-7295,Economic Inquiry,2900,1950,2400,,,,,ECIN
ECNO,1468-0300,Economic Notes,2500,1650,2100,,,,,ECNO
ECPA,1759-3441,Economic Papers,2500,1667,2083,,,,,ECPA
ECOR,1475-4932,Economic Record,2500,1667,2083,,,,,ECOR
ECPO,1468-0343,Economics & Politics,2750,1850,2300,,,,,ECPO
ECOT,1468-0351,Economics of Transition and Institutional Change,2600,1750,2150,,,,,ECOT
EMIP,1745-3992,Educational Measurement: Issues and Practices,3000,2350,2700,,,,,EMIP
EDTH,1741-5446,Educational Theory,2500,1650,2100,,,,,EDTH
EEJ,1520-6416,Electrical Engineering in Japan,2500,1667,2083,,,,,EEJ
ELAN,1521-4109,Electroanalysis,3300,2200,2750,,,,,ELAN
ECJ,1520-6440,Electronics and Communications in Japan,2500,1667,2083,,,,,ECJ
ELPS,1522-2683,ELECTROPHORESIS,3850,2550,3200,,,,,ELPS
EMBR,1469-3178,EMBO Reports,5200,4200,4700,,,,,EMBR
EMM,1742-6723,Emergency Medicine Australasia,3300,2200,2750,,,,,EMM
EST2,2578-4862,Energy Storage,3000,2000,2500,,,,,EST2
ENTE,2194-4296,Energy Technology,4000,2700,3300,,,,,ENTE
EEA,1570-7458,Entomologia Experimentalis et Applicata,3500,2333,2917,,,,,EEA
ENR,1748-5967,Entomological Research,2500,1667,2083,,,,,ENR
ENS,1479-8298,Entomological Science,3000,2000,2500,1500,1000,1250,,ENS
EM,1098-2280,Environmental and Molecular Mutagenesis,3300,2200,2750,,,,,EM
EMI,1462-2920,Environmental Microbiology,4200,3000,3600,,,,,EMI
EMI4,1758-2229,Environmental Microbiology Reports,3600,2400,3000,,,,,EMI4
EET,1756-9338,Environmental Policy and Governance,2900,1950,2400,,,,,EET
EP,1944-7450,Environmental Progress & Sustainable Energy,3500,2333,2917,,,,,EP
TQEM,1520-6483,Environmental Quality Management,3000,2000,2500,,,,,TQEM
TOX,1522-7278,Environmental Toxicology,3900,2600,3250,,,,,TOX
ETC,1552-8618,Environmental Toxicology and Chemistry,3000,2000,2500,2400,1600,2000,,ETC
ENV,1099-095X,Environmetrics,3700,2450,3100,,,,,ENV
EPI,1528-1167,Epilepsia,3950,2650,3300,,,,,EPI
EPP,1365-2338,EPPO Bulletin,3000,2000,2500,,,,,EPP
EVE,2042-3292,Equine Veterinary Education,3100,2050,2600,,,,,EVE
EVJ,2042-3306,Equine Veterinary Journal,3300,2200,2750,,,,,EVJ
EAHR,2578-2363,Ethics & Human Research,2750,1850,2300,,,,,EAHR
ETH,1439-0310,Ethology,3600,2400,3000,,,,,ETH
ETHO,1548-1352,Ethos,3000,2000,2500,,,,,ETHO
EUCH,1746-692X,EuroChoices,3000,2000,2500,,,,,EUCH
ERV,1099-0968,European Eating Disorders Review,3700,2467,3083,,,,,ERV
EUFM,1468-036X,European Financial Management,2800,1867,2333,,,,,EUFM
ECC,1365-2354,European Journal of Cancer Care,4300,2850,3600,,,,,ECC
ECI,1365-2362,European Journal of Clinical Investigation,3600,2400,3000,,,,,ECI
EJE,1600-0579,European Journal of Dental Education,3300,2200,2750,,,,,EJE
EJED,1465-3435,European Journal of Education,2600,1750,2150,,,,,EJED
EJH,1600-0609,European Journal of Haematology,3400,2250,2850,,,,,EJH
EJHF,1879-0844,European Journal of Heart Failure,4700,3100,3950,,,,,EJHF
EJI,1521-4141,European Journal of Immunology,3850,2750,3300,,,,,EJI
EJIC,1099-0682,European Journal of Inorganic Chemistry,3700,2500,3050,,,,,EJIC
EJLT,1438-9312,European Journal of Lipid Science and Technology,3800,2550,3150,,,,,EJLT
ENE,1468-1331,European Journal of Neurology,4100,2733,3417,,,,,ENE
EJN,1460-9568,European Journal of Neuroscience,3000,2000,2500,,,,,EJN
EOS,1600-0722,European Journal of Oral Sciences,3300,2200,2750,,,,,EOS
EJOC,1099-0690,European Journal of Organic Chemistry,3850,2600,3200,,,,,EJOC
EJP,1532-2149,European Journal of Pain,4000,2667,3333,,,,,EJP
EJOP,1468-0378,European Journal of Philosophy,2500,1667,2083,,,,,EJOP
EJPR,1475-6765,European Journal of Political Research,3600,2400,3000,,,,,EJPR
EPDY,2047-8852,European Journal of Political Research Political Data Yearbook,3000,2000,2500,,,,,EPDY
EJSP,1099-0992,European Journal of Social Psychology,3000,2000,2500,,,,,EJSP
EJSS,1365-2389,European Journal of Soil Science,4100,2700,3450,,,,,EJSS
EULJ,1468-0386,European Law Journal,3100,2050,2600,,,,,EULJ
EMRE,1740-4762,European Management Review,2500,1650,2100,,,,,EMRE
EPA2,2380-6567,European Policy Analysis,3000,2000,2700,,,,,EPA2
EVO,1558-5646,Evolution,3000,2000,2500,1500,1000,1250,,EVO
EDE,1525-142X,Evolution & Development,3300,2200,2750,,,,,EDE
EVAN,1520-6505,Evolutionary Anthropology,3800,2550,3150,,,,,EVAN
EXD,1600-0625,Experimental Dermatology,4100,2733,3417,,,,,EXD
EPH,1469-445X,Experimental Physiology,3600,2000,2800,,,,,EPH
EXSY,1468-0394,Expert Systems,3300,2200,2750,,,,,EXSY
FCSR,1552-3934,Family & Consumer Sciences Research Journal,2500,1650,2100,,,,,FCSR
FCRE,1744-1617,Family Court Review,2500,1650,2100,,,,,FCRE
FAMP,1545-5300,Family Process,2500,1650,2100,,,,,FAMP
FARE,1741-3729,Family Relations,2750,1800,2300,,,,,FARE
FFE,1460-2695,Fatigue & Fracture of Engineering Materials & Structures,3800,2533,3167,,,,,FFE
FEB2,1873-3468,FEBS Letters,3300,2050,2650,,,,,FEB2
FEDR,1522-239X,Feddes Repertorium,2500,1667,2083,,,,,FEDR
FEA2,2643-7961,Feminist Anthropology,3000,2000,2500,,,,,FEA2
FAAM,1468-0408,Financial Accountability & Management,2500,1667,2083,,,,,FAAM
FIMA,1755-053X,Financial Management,2500,1650,2100,,,,,FIMA
FMII,1468-0416,"Financial Markets, Institutions & Instruments",2500,1667,2083,,,,,FMII
CFP2,2573-8615,Financial Planning Review,3000,2000,2500,,,,,CFP2
FAM,1099-1018,Fire and Materials,3200,2150,2650,,,,,FAM
FISC,1475-5890,Fiscal Studies,2850,1900,2350,,,,,FISC
FAF,1467-2979,Fish and Fisheries,4300,2850,3600,,,,,FAF
FSH,1548-8446,Fisheries,3600,2400,3000,,,,,FSH
FME,1365-2400,Fisheries Management and Ecology,3400,2267,2833,,,,,FME
FOG,1365-2419,Fisheries Oceanography,4000,2650,3350,,,,,FOG
FFJ,1099-1026,Flavour and Fragrance Journal,3600,2400,3000,,,,,FFJ
FLAN,1944-9720,Foreign Language Annals,3000,2000,2500,,,,,FLAN
EFP,1439-0329,Forest Pathology,3500,2333,2917,,,,,EFP
PROP,1521-3978,Fortschritte der Physik,3000,2000,2500,,,,,PROP
FWB,1365-2427,Freshwater Biology,4300,2850,3600,,,,,FWB
FEE,1540-9309,Frontiers in Ecology and the Environment,2900,2169,2454,,,,,FEE
FUCE,1615-6854,Fuel Cells,3300,2200,2750,,,,,FUCE
FEC,1365-2435,Functional Ecology,3000,2000,2500,2250,1500,1875,,FEC
FCP,1472-8206,Fundamental & Clinical Pharmacology,2680,1800,2250,,,,,FCP
FFO2,2573-5152,Futures & Foresight Science,3000,2000,2500,,,,,FFO2
GAMM,1522-2608,GAMM - Mitteilungen,2500,1667,2083,,,,,GAMM
YGH2,1478-1239,GastroHep,3300,2470,2800,,,,,YGH2
GEND,1468-0424,Gender & History,2600,1750,2150,,,,,GEND
GWAO,1468-0432,"Gender, Work & Organisation",3700,2500,3050,,,,,GWAO
GENA,1939-3466,General Anthropology,3000,2000,2500,,,,,GENA
GTC,1365-2443,Genes to Cells,3800,2533,3167,3000,2000,2500,,GTC
GCC,1098-2264,"Genes, Chromosomes and Cancer",3950,2650,3300,,,,,GCC
DVG,1526-968X,Genesis: The Journal of Genetics and Development,3300,2200,2750,,,,,DVG
GEPI,1098-2272,Genetic Epidemiology,3550,2350,2950,,,,,GEPI
GEA,1520-6548,Geoarchaeology,3330,2200,2800,,,,,GEA
GBI,1472-4669,Geobiology,4200,2800,3500,,,,,GBI
GEAN,1538-4632,Geographical Analysis,3000,2000,2500,,,,,GEAN
GEOR,1745-5871,Geographical Research,2900,1933,2417,,,,,GEOR
GEC3,1749-8198,Geography Compass (Electronic),3000,2000,2500,,,,,GEC3
GJ,1099-1034,Geological Journal,3500,2333,2917,,,,,GJ
GPR,1365-2478,Geophysical Prospecting,3000,2000,2500,,,,,GPR
GRL,1944-8007,Geophysical Research Letters,2700,1620,2160,,,,,GRL
GGR,1751-908X,Geostandards & Geoanalytical Research,3700,2450,3100,,,,,GGR
GGI,1447-0594,Geriatrics & Gerontology International,3400,2250,2850,,,,,GGI
GLAL,1468-0483,German Life and Letters,2500,1667,2083,,,,,GLAL
GER,1741-2358,Gerodontology,3000,2000,2500,,,,,GER
GLIA,1098-1136,Glia,4700,3150,3900,,,,,GLIA
GBC,1944-9224,Global Biogeochemical Cycles,3600,2571,3086,,,,,GBC
JOE,1932-2062,Global Business and Organizational Excellence,3000,2000,2500,,,,,JOE
GCB,1365-2486,Global Change Biology,4250,3200,3700,,,,,GCB
GEB,1466-8238,Global Ecology and Biogeography,3650,2450,3050,,,,,GEB
GLOB,1471-0374,Global Networks,3300,2200,2750,,,,,GLOB
GPOL,1758-5899,Global Policy,3100,2050,2600,,,,,GPOL
GSJ,2042-5805,Global Strategy Journal,2500,1650,2100,,,,,GSJ
GOVE,1468-0491,Governance,3700,2450,3100,,,,,GOVE
GFS,1365-2494,Grass and Forage Science,3500,2350,2900,,,,,GFS
GRS,1744-697X,Grassland Science,2500,1667,2083,,,,,GRS
GHG,2152-3878,Greenhouse Gases: Science and Technology,3300,2200,2750,,,,,GHG
GWAT,1745-6584,Groundwater,3200,2150,2700,,,,,GWAT
GWMR,1745-6592,Groundwater Monitoring & Remediation,3200,2150,2650,,,,,GWMR
GROW,1468-2257,Growth and Change,2500,1667,2083,,,,,GROW
HAE,1365-2516,Haemophilia,3650,2450,3050,,,,,HAE
HAST,1552-146X,Hastings Center Report,2750,1800,2300,,,,,HAST
HED,1097-0347,Head & Neck,3650,2450,3050,,,,,HED
HEAD,1526-4610,Headache: The Journal of Head and Face Pain,3300,2200,2750,,,,,HEAD
HSC,1365-2524,Health and Social Care in the Community,4600,3050,3850,,,,,HSC
HEC,1099-1050,Health Economics,3850,2600,3200,,,,,HEC
HIR,1471-1842,Health Information and Libraries Journal,2500,1650,2100,,,,,HIR
HPJA,2201-1617,Health Promotion Journal of Australia,3000,2000,2500,2400,1600,2000,,HPJA
HESR,1475-6773,Health Services Research,3300,2200,2750,,,,,HESR
HTJ,1523-1496,Heat Transfer - Asian Research,2500,1667,2083,,,,,HTJ
HEL,1523-5378,Helicobacter,3500,2300,2950,,,,,HEL
HLCA,1522-2675,Helvetica Chimica Acta,3500,2350,2900,,,,,HLCA
HON,1099-1069,Hematological Oncology,4000,2650,3350,,,,,HON
HDI,1542-4758,Hemodialysis International,3100,2067,2583,,,,,HDI
HEP,1527-3350,Hepatology,2400,1700,2300,,,,,HEP
HEPR,1872-034X,Hepatology Research,3400,2250,2850,,,,,HEPR
HEQU,1468-2273,Higher Education Quarterly,2500,1667,2083,,,,,HEQU
HIPO,1098-1063,Hippocampus,4100,2929,3514,,,,,HIPO
HIS,1365-2559,Histopathology,4100,2733,3417,,,,,HIS
HIST,1468-229X,History,2500,1650,2100,,,,,HIST
HITH,1468-2303,History and Theory,2500,1650,2100,,,,,HITH
HIC3,1478-0542,History Compass,2500,1667,2083,,,,,HIC3
HIV,1468-1293,HIV Medicine,3300,2200,2750,,,,,HIV
TAN,2059-2310,HLA: Immune Response Genetics,4000,2650,3350,,,,,TAN
HBE2,2578-1863,Human Behavior and Emerging Technologies,2500,2116,1870,,,,,HBE2
HFM,1520-6564,Human Factors and Ergonomics in Manufacturing & Service Industries,2500,1667,2083,,,,,HFM
HUMU,1098-1004,Human Mutation,4000,2850,3450,,,,,HUMU
HUP,1099-1077,Human Psychopharmacology: Clinical and Experimental,3500,2350,2900,,,,,HUP
HRDQ,1532-1096,Human Resource Development Quarterly,3200,2150,2650,,,,,HRDQ
HRM,1099-050X,Human Resource Management,3100,2050,2600,,,,,HRM
HRMJ,1748-8583,Human Resource Management Journal,3700,2450,3100,,,,,HRMJ
HYP,1099-1085,Hydrological Processes,4200,2800,3500,,,,,HYP
IBI,1474-919X,Ibis,3300,2200,2750,,,,,IBI
IMR,1600-065X,Immunological Reviews,4300,2867,3583,,,,,IMR
IMM,1365-2567,Immunology,3950,2650,3300,2633,1767,2200,,IMM
IMCB,1440-1711,Immunology & Cell Biology,3300,2200,2750,2640,1760,2200,,IMCB
INA,1600-0668,Indoor Air,4300,2867,3583,,,,,INA
IREL,1468-232X,Industrial Relations,3000,2000,2500,,,,,IREL
IRJ,1468-2338,Industrial Relations Journal,2500,1667,2083,,,,,IRJ
INFA,1532-7078,Infancy,3000,2000,2500,,,,,INFA
ICD,1522-7219,Infant and Child Development,2500,1667,2083,,,,,ICD
IMHJ,1097-0355,Infant Mental Health Journal,2750,1800,2300,,,,,IMHJ
ISJ,1365-2575,Information Systems Journal,4000,2650,3350,,,,,ISJ
ICAD,1752-4598,Insect Conservation and Diversity,3700,2450,3100,,,,,ICAD
IMB,1365-2583,Insect Molecular Biology,3700,2450,3100,,,,,IMB
INS,1744-7917,Insect Science,3000,2000,2500,,,,,INS
IEAM,1551-3793,Integrated Environmental Assessment and Management,3000,2000,2500,2400,1600,2000,,IEAM
INZ2,1749-4877,Integrative Zoology,3600,2400,3000,,,,,INZ2
ISAF,1099-1174,"Intelligent Systems in Accounting, Finance and Management",2500,1667,2083,,,,,ISAF
IMJ,1445-5994,Internal Medicine Journal,2750,1850,2300,,,,,IMJ
IERE,1468-2354,International Economic Review,2750,1800,2300,,,,,IERE
IEJ,1365-2591,International Endodontic Journal,3700,2467,3083,,,,,IEJ
INFI,1468-2362,International Finance,2500,1667,2083,,,,,INFI
ALR,2042-6984,International Forum of Allergy & Rhinology,3000,2000,2500,,,,,ALR
IIR,1099-1107,International Insolvency Review,2500,1650,2100,,,,,IIR
NAG,1096-9853,International Journal for Numerical and Analytical Methods in Geomechanics,3800,2550,3150,,,,,NAG
CNM,2040-7947,International Journal for Numerical Methods in Biomedical Engineering,4200,2800,3500,,,,,CNM
NME,1097-0207,International Journal for Numerical Methods in Engineering,4400,2950,3650,,,,,NME
FLD,1097-0363,International Journal for Numerical Methods in Fluids,3700,2450,3100,,,,,FLD
ACS,1099-1115,International Journal of Adaptive Control and Signal Processing,3000,2000,2500,,,,,ACS
IJAC,1744-7402,International Journal of Applied Ceramic Technology,3300,2200,2750,2805,1870,2337.5,,IJAC
IJAG,2041-1294,International Journal of Applied Glass Science,3300,2200,2750,2805,1870,2337.5,,IJAG
IJAL,1473-4192,International Journal of Applied Linguistics,2500,1667,2083,,,,,IJAL
APS,1556-9187,International Journal of Applied Psychoanalytic Studies,2500,1667,2083,,,,,APS
JADE,1476-8070,International Journal of Art & Design Education,2500,1650,2100,,,,,JADE
IJAU,1099-1123,International Journal of Auditing,2500,1667,2083,,,,,IJAU
IJC,1097-0215,International Journal of Cancer,4600,3100,3900,,,,,IJC
KIN,1097-4601,International Journal of Chemical Kinetics,3100,2067,2583,,,,,KIN
CTA,1097-007X,International Journal of Circuit Theory & Applications,3500,2333,2917,,,,,CTA
JOC,1097-0088,International Journal of Climatology,3150,2100,2650,2520,1680,2120,,JOC
IJCP,1742-1241,International Journal of Clinical Practice,4500,3214,3857,,,,,IJCP
DAC,1099-1131,International Journal of Communication Systems,3100,2050,2600,,,,,DAC
IJCS,1470-6431,International Journal of Consumer Studies,2500,1667,2083,,,,,IJCS
ICS,1468-2494,International Journal of Cosmetic Science,2750,1800,2300,,,,,ICS
IDT,1471-0307,International Journal of Dairy Technology,3100,2050,2600,,,,,IDT
IDH,1601-5037,International Journal of Dental Hygiene,2900,1933,2417,,,,,IDH
IJD,1365-4632,International Journal of Dermatology,3300,2200,2750,,,,,IJD
JDN,1873-474X,International Journal of Developmental Neuroscience,2600,1990,2260,,,,,JDN
EAT,1098-108X,International Journal of Eating Disorders,4200,2800,3500,,,,,EAT
IJET,1742-7363,International Journal of Economic Theory,3000,2000,2500,,,,,IJET
ER,1099-114X,International Journal of Energy Research,4400,2900,3700,,,,,ER
IEP,1365-2613,International Journal of Experimental Pathology,3400,2267,2833,,,,,IEP
IJFE,1099-1158,International Journal of Finance & Economics,2500,1667,2083,,,,,IJFE
IJFS,1365-2621,International Journal of Food Science & Technology,3300,2200,2750,,,,,IJFS
GPS,1099-1166,International Journal of Geriatric Psychiatry,4250,2800,3550,,,,,GPS
IJGO,1879-3479,International Journal of Gynecology & Obstetrics,3700,2450,3100,,,,,IJGO
IMA,1098-1098,International Journal of Imaging Systems and Technology,2750,1850,2300,,,,,IMA
IJI,1744-313X,International Journal of Immunogenetics,2500,1667,2083,,,,,IJI
INT,1098-111X,International Journal of Intelligent Systems,3600,2400,3000,,,,,INT
IJJS,1475-6781,International Journal of Japanese Sociology,2500,1667,2083,,,,,IJJS
IJLH,1751-553X,International Journal of Laboratory Hematology,3400,2250,2850,,,,,IJLH
JLCD,1460-6984,International Journal of Language & CommunicationDisorders,3100,2050,2600,,,,,JLCD
IJMR,1468-2370,International Journal of Management Reviews,3300,2200,2750,,,,,IJMR
INM,1447-0349,International Journal of Mental Health Nursing,3700,2467,3083,,,,,INM
NEM,1099-1190,International Journal of Network Management,3000,2000,2500,,,,,NEM
NVSM,1479-103X,International Journal of Nonprofit and Voluntary Sector Marketing,2500,1667,2083,,,,,NVSM
JNM,1099-1204,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",2750,1850,2300,,,,,JNM
IJNT,2047-3095,International Journal of Nursing Knowledge,2900,1950,2400,,,,,IJNT
IJN,1440-172X,International Journal of Nursing Practice,3000,2000,2500,,,,,IJN
OPN,1748-3743,International Journal of Older People Nursing,3300,2200,2750,,,,,OPN
OA,1099-1212,International Journal of Osteoarchaeology,3300,2200,2750,,,,,OA
IPD,1365-263X,International Journal of Paediatric Dentistry,3400,2250,2850,,,,,IPD
IJOP,1464-066X,International Journal of Psychology,2900,1900,2450,,,,,IJOP
QUA,1097-461X,International Journal of Quantum Chemistry,3800,2550,3150,,,,,QUA
MMCE,1099-047X,International Journal of RF and Microwave Computer-Aided Engineering,2750,1850,2300,,,,,MMCE
APL,1756-185X,International Journal of Rheumatic Diseases,3200,2150,2650,,,,,APL
RNC,1099-1239,International Journal of Robust and Nonlinear Control,3300,2200,2750,,,,,RNC
SAT,1542-0981,International Journal of Satellite Communications and Networking,3600,2400,3000,,,,,SAT
IJSA,1468-2389,International Journal of Selection and Assessment,2500,1667,2083,,,,,IJSA
IJSW,1468-2397,International Journal of Social Welfare,2600,1750,2150,,,,,IJSW
IJST,1468-2400,International Journal of Systematic Theology,2500,1667,2083,,,,,IJST
JTR,1522-1970,International Journal of Tourism Research,2900,1950,2400,,,,,JTR
IJTD,1468-2419,International Journal of Training and Development,2500,1667,2083,,,,,IJTD
IJUR,1468-2427,International Journal of Urban and Regional Research,3600,2400,3000,,,,,IJUR
IJUN,1749-771X,International Journal of Urological Nursing,2500,1650,2100,,,,,IJUN
IJU,1442-2042,International Journal of Urology,3300,2200,2750,,,,,IJU
ILR,1564-913X,International Labour Review,2800,1850,2350,,,,,ILR
IMIG,1468-2435,International Migration,2750,1850,2300,,,,,IMIG
INR,1466-7657,International Nursing Review,2500,1650,2100,,,,,INR
IRFI,1468-2443,International Review of Finance,2500,1667,2083,,,,,IRFI
IROH,1522-2632,International Review of Hydrobiology,2750,1850,2300,,,,,IROH
IROM,1758-6631,International Review of Mission,2500,1650,2100,,,,,IROM
ISSJ,1468-2451,International Social Science Journal,2500,1667,2083,,,,,ISSJ
ISSR,1468-246X,International Social Security Review,2500,1667,2083,,,,,ISSR
INSR,1751-5823,International Statistical Review,3900,2600,3250,,,,,INSR
ITOR,1475-3995,International Transactions in Operational Research,3000,2000,2500,,,,,ITOR
ETEP,2050-7038,International Transactions on Electrical Energy Systems,3000,2000,2500,,,,,ETEP
ITL2,2476-1508,Internet Technology Letters,2500,1650,2250,,,,,ITL2
IVB,1744-7410,Invertebrate Biology,3300,2200,2750,,,,,IVB
NEWE,2050-5876,IPPR Progressive Review,3000,2000,2500,,,,,NEWE
IRD,1531-0361,Irrigation and Drainage,3300,2200,2750,,,,,IRD
VOXS,1751-2824,ISBT Science Series,2500,1650,2100,,,,,VOXS
IAR,1440-1738,Island Arc,2750,1850,2300,,,,,IAR
2525,1869-5868,Israel Journal of Chemistry,3600,2400,3000,,,,,2525
IUB,1521-6551,IUBMB Life,3600,2400,3000,,,,,IUB
JAC5,2574-9870,JACCP:  Journal of the American College of Clinical Pharmacy,3000,2000,2500,,,,,JAC5
JJNS,1742-7924,Japan Journal of Nursing Science,2500,1667,2083,,,,,JJNS
JCMS,1468-5965,JCMS: Journal of Common Market Studies,3200,2133,2667,,,,,JCMS
,2573-5098,JFSA Reports,3000,2280,2530,,,,,
AWWA,1551-8833,Journal AWWA,3000,2000,2500,2400,1600,2000,,AWWA
DDG,1610-0387,Journal der Deutschen Dermatologischen Gesellschaft,3300,2200,2750,,,,,DDG
JECS,1754-0208,Journal For Eighteenth-Century Studies,2500,1650,2100,,,,,JECS
JSPN,1744-6155,Journal for Specialists In Pediatric Nursing,2900,1950,2400,,,,,JSPN
NAD2,1556-4819,Journal for the Anthropology of North America,3000,2000,2500,,,,,NAD2
JSSR,1468-5906,Journal for the Scientific Study of Religion,2500,1650,2100,,,,,JSSR
JTSB,1468-5914,Journal for the Theory of Social Behaviour,2900,1950,2400,,,,,JTSB
JOAR,1475-679X,Journal of Accounting Research,3500,1800,2100,,,,,JOAR
JAOC,2161-1874,Journal of Addictions & Offender Counseling,2500,1650,2100,,,,,JAOC
JAAL,1936-2706,Journal of Adolescent & Adult Literacy,2600,1750,2150,,,,,JAAL
AMP2,2637-403X,Journal of Advanced Manufacturing and Processing,3500,2618,2962,,,,,AMP2
JAN,1365-2648,Journal of Advanced Nursing,4300,2850,3600,,,,,JAN
JOAC,1471-0366,Journal of Agrarian Change,3000,2000,2500,,,,,JOAC
JAGE,1477-9552,Journal of Agricultural Economics,3600,2400,3000,,,,,JAGE
JAC,1439-037X,Journal of Agronomy and Crop Science,3600,2400,3000,,,,,JAC
JGS,1532-5415,Journal of American Geriatrics Society,4300,2867,3583,,,,,JGS
JOAP,1468-5922,Journal of Analytical Psychology,3000,2000,2500,,,,,JOAP
JOA,1469-7580,Journal of Anatomy,3000,2000,2500,,,,,JOA
JBG,1439-0388,Journal of Animal Breeding and Genetics,4000,2650,3350,,,,,JBG
JANE,1365-2656,Journal of Animal Ecology,3000,2000,2500,2250,1500,1875,,JANE
JPN,1439-0396,Journal of Animal Physiology and Animal Nutrition,3950,2650,3300,,,,,JPN
JABA,1938-3703,Journal of Applied Behavior Analysis,2600,1700,2200,,,,,JABA
JACF,1745-6622,Journal of Applied Corporate Finance,2500,1650,2100,,,,,JACF
JCR,1600-5767,Journal of Applied Crystallography,3750,2950,3400,,,,,JCR
JPE,1365-2664,Journal of Applied Ecology,3000,2000,2500,2250,1500,1875,,JPE
JAE,1099-1255,Journal of Applied Econometrics,3100,2050,2600,,,,,JAE
JEN,1439-0418,Journal of Applied Entomology,3600,2400,3000,,,,,JEN
JAI,1439-0426,Journal of Applied Ichthyology,2900,1933,2417,,,,,JAI
JAM,1365-2672,Journal of Applied Microbiology,3600,2400,3000,,,,,JAM
JAPP,1468-5930,Journal of Applied Philosophy,2900,1950,2400,,,,,JAPP
