Journal Acronym,Alt Acronym 1,Alt Acronym 2,Journal Acronym2
JABA,JABA,JABA,JABA
JABR,JABR,JABR,JABR
JACF,JACF,JACF,JACF
JCR,JCR,JCR,JCR
JPE,JPE,JPE,JPE
JAE,JAE,JAE,JAE
JEN,JEN,JEN,JEN
JAI,JAI,JAI,JAI
JAM,JAM,JAM,JAM
JAPP,JAPP,JAPP,JAPP
APP,APP,APP,APP
JAR,JAR,JAR,JAR
JASP,JASP,JASP,JASP
JAT,JAT,JAT,JAT
JAV,JAV,JAV,JAV
JOBM,2248,2248,JOBM
BDM,BDM,BDM,BDM
JBT,JBT,JBT,JBT
JBI,JBI,JBI,JBI
JBM.A,JBM,JBM,JBM.A
JBM.B,JBM.B,JBM.B,JBM.B
JBIO,2475,2475,JBIO
JBMR,JBMR,JBMR,JBMR
JBFA,JBFA,JBFA,JBFA
JBL,JBL,JBL,JBL
JCSM,JCSM,JCSM,JCSM
JOCS,JOCS,JOCS,JOCS
JCE,JCE,JCE,JCE
JCMM,JCMM,JCMM,JCMM
JCB,JCB,JCB,JCB
JCP,JCP,JCP,JCP
JCTB,JCTB,JCTB,JCTB
CEM,CEM,CEM,CEM
JCAP,JCAP,JCAP,JCAP
JCPP,JCPP,JCPP,JCPP
JOCP,JOCP,JOCP,JOCP
JCA,JCA,JCA,JCA
JCH,JCH,JCH,JCH
JCLA,JCLA,JCLA,JCLA
JOCN,JOCN,JOCN,JOCN
JCPE,JCPE,JCPE,JCPE
JCPT,JCPT,JCPT,JCPT
JCLP,JCLP,JCLP,JCLP
JCU,JCU,JCU,JCU
JOCC,JOCC,JOCC,JOCC
JCD,JCD,JCD,JCD
JCOM,JCOM,JCOM,JCOM
CASP,CASP,CASP,CASP
JCOP,JCOP,JCOP,JCOP
JCC,JCC,JCC,JCC
JCAL,JCAL,JCAL,JCAL
JCC4,JCC4,JCC4,JCC4
JOCA,JOCA,JOCA,JOCA
CB,CB,CB,CB
JCW3,JCWR,JCWR,JCW3
JCCM,JCCM,JCCM,JCCM
CHP,CHP,CHP,CHP
JCAF,JCAF,JCAF,JCAF
JOCD,JOCD,JOCD,JOCD
JCAD,JCAD,JCAD,JCAD
CUP,CUP,CUP,CUP
JDB,JDB,JDB,JDB
JDI,JDI,JDI,JDI
CDD,CDD,CDD,CDD
JEC,JEC,JEC,JEC
JOES,JOES,JOES,JOES
JEMS,JEMS,JEMS,JEMS
JEDM,JEDM,JEDM,JEDM
JELS,JELS,JELS,JELS
JOEC,JOEC,JOEC,JOEC
JEE,JEE,JEE,JEE
JERD,JERD,JERD,JERD
JEP,JEP,JEP,JEP
JEBM,JEBM,JEBM,JEBM
JEB,JEB,JEB,JEB
JEZ,JEZ.A,JEZA,JEZ
JEZ.B,JEZ.B,JEZ.B,JEZ.B
JFTR,JFTR,JFTR,JFTR
JOFT,JOFT,JOFT,JOFT
JOFO,JOFO,JOFO,JOFO
ROB,ROB,ROB,ROB
JOFI,JOFI,JOFI,JOFI
JFB,JFB,JFB,JFB
JFD,JFD,JFD,JFD
JFR3,JFR3,JFR3,JFR3
JFBC,JFBC,JFBC,JFBC
JFPE,JFPE,JFPE,JFPE
JFPP,JFPP,JFPP,JFPP
JFQ,JFQ,JFQ,JFQ
JFS,JFS,JFS,JFS
JFDS,JFDS,JFDS,JFDS
JFS3,JFS3,JFS3,JFS3
FOR,FOR,FOR,FOR
JFO,JFO,JFO,JFO
FUT,FUT,FUT,FUT
JGH,JGH,JGH,JGH
JGRD,JGRD,JGRD,JGRD
JGRG,JGRG,JGRG,JGRG
JGRF,JGRF,JGRF,JGRF
JGRC,JGRC,JGRC,JGRC
JGRE,JGRE,JGRE,JGRE
JGRB,JGRB,JGRB,JGRB
JGRA,JGRA,JGRA,JGRA
JGT,JGT,JGT,JGT
JHRM,JHRM,JHRM,JHRM
JHBP,JHBP,JHBP,JHBP
JHET,JHET,JHET,JHET
JOHS,JOHS,JOHS,JOHS
JHM,JHM,JHM,JHM
JHN,JHN,JHN,JHN
JIEC,JIEC,JIEC,JIEC
JOIE,JOIE,JOIE,JOIE
JIPB,JIPB,JIPB,JIPB
JIR,JIR,JIR,JIR
JIN2,JIN2,JIN2,JIN2
JOID,JOID,JOID,JOID
JOIM,JOIM,JOIM,JOIM
JID,JID,JID,JID
JIFM,JIFM,JIFM,JIFM
JOIC,JOIC,JOIC,JOIC
JICD,JICD,JICD,JICD
JIP,JIP,JIP,JIP
JJA2,JJA2,JJA2,JJA2
JLCR,JLC,JLC,JLCR
JLCA,JLCA,JLCA,JLCA
JOLS,JOLS,JOLS,JOLS
JLME,JLME,JLME,JLME
JLS,JLS,JLS,JLS
JLSE,JLSE,JLSE,JLSE
JOLA,JOLA,JOLA,JOLA
JMRI,JMRI,JMRI,JMRI
JOMS,JOMS,JOMS,JOMS
JMFT,JMFT,JMFT,JMFT
JOMF,JOMF,JOMF,JOMF
JMS,JMS,JMS,JMS
ARA,ARA,ARA,ARA
JMP,JMP,JMP,JMP
JMRS,JMRS,JMRS,JMRS
JMV,JMV,JMV,JMV
JMG,JMG,JMG,JMG
JMI,JMI,JMI,JMI
JMR,JMR,JMR,JMR
JMCB,JMCB,JMCB,JMCB
JMOR,JMOR,JMOR,JMOR
MCDA,MCDA,MCDA,MCDA
JMCD,JMCD,JMCD,JMCD
JNC,JNC,JNC,JNC
JNE,JNE,JNE,JNE
JON,JON,JON,JON
JNP,JNP,JNP,JNP
JNR,JNR,JNR,JNR
JONM,JONM,JONM,JONM
JNU,JNU,JNU,JNU
JOGN,JOGN,JOGN,JOGN
JOG,JOG,JOG,JOG
JOOP,JOOP,JOOP,JOOP
JOP,JOP,JOP,JOP
JOOR,JOOR,JOOR,JOOR
JOB,JOB,JOB,JOB
JOR,JOR,JOR,JOR
JPC,JPC,JPC,JPC
PSC,PSC,PSC,PSC
JRE,JRE,JRE,JRE
JOPY,JOPY,JOPY,JOPY
JPG,JPG,JPG,JPG
JPHS,JPHS,JPHS,JPHS
JPS,JPS,JPS,JPS
JPHP,JPHP,JPHP,JPHP
JPPR,JPR4,JPR4,JPPR
JOPE,JOPE,JOPE,JOPE
JPY,JPY,JPY,JPY
POC,POC,POC,POC
TJP,TJP,TJP,TJP
JPH,JPH,JPH,JPH
JPI,JPI,JPI,JPI
JPLN,2045,2045,JPLN
PAM,JPAM,JPAM,PAM
JPPI,JPPI,JPPI,JPPI
JOPP,JOPP,JOPP,JOPP
POLA,POLA,POLA,POLA
POLB,POLB,POLB,POLB
JPMS,JPMS,JPMS,JPMS
JPIM,JPIM,JPIM,JPIM
JOPR,JOPR,JOPR,JOPR
JPM,JPM,JPM,JPM
JPOC,JPOC,JPOC,JPOC
PA,PA,PA,PA
JPET,JPET,JPET,JPET
JPHD,JPHD,JPHD,JPHD
JQS,JQS,JQS,JQS
JRS,JRS,JRS,JRS
JORS,JORS,JORS,JORS
JORE,JORE,JORE,JORE
JORH,JORH,JORH,JORH
JORC,JORC,JORC,JORC
JRIR,JRIR,JRIR,JRIR
TEA,TEA,TEA,TEA
JRS3,JRS3,JRS3,JRS3
JORA,JORA,JORA,JORA
JORI,JORI,JORI,JORI
JOSH,JOSH,JOSH,JOSH
JOSS,JOSS,JOSS,JOSS
JSSC,2259,2259,JSSC
JSM,JSM,JSM,JSM
JSR,JSR,JSR,JSR
JSAP,JSAP,JSAP,JSAP
JSBM,JSBM,JSBM,JSBM
JOSI,JOSI,JOSI,JOSI
JOSP,JOSP,JOSP,JOSP
JOSL,JOSL,JOSL,JOSL
SMR,SMR,SMR,SMR
JSCM,JSCM,JSCM,JSCM
JSCH,JSCH,JSCH,JSCH
JSO,JSO,JSO,JSO
JSY,JSY,JSY,JSY
JSE,JSE,JSE,JSE
JTXS,JTXS,JTXS,JTXS
JACE,JACE,JACE,JACE
JAH3,JAH3,JAH3,JAH3
JAWR,JAWRA,JAWRA,JAWR
ASI,ASI,ASI,ASI
JCCS,2600,2600,JCCS
JDV,JDV,JDV,JDV
JEEA,JEEA,JEEA,JEEA
JEAB,JEAB,JEAB,JEAB
JHBS,JHBS,JHBS,JHBS
JIB,JIB,JIB,JIB
NAVI,NAVI,NAVI,NAVI
JNS,JNS,JNS,JNS
JRAI,JRAI,JRAI,JRAI
RSSC,RSSC,RSSC,RSSC
RSSA,RSSA,RSSA,RSSA
RSSB,RSSB,RSSB,RSSB
JSFA,JSFA,JSFA,JSFA
JSID,JSID,JSID,JSID
JWAS,JWAS,JWAS,JWAS
JTH,JTH,JTH,JTH
JTSA,JTSA,JTSA,JTSA
TERM,TERM,TERM,TERM
JTS,JTS,JTS,JTS
JTM,JTM,JTM,JTM
JUAF,JUAF,JUAF,JUAF
JVEC,JVEC4,JVEC4,JVEC
JVS,JVS,JVS,JVS
VEC,VEC,VEC,VEC
JVIM,JVIM,JVIM,JVIM
JVP,JVP,JVP,JVP
VNL,VNL,VNL,VNL
JVH,JVH,JVH,JVH
JZS,JZS,JZS,JZS
JZO,JZO,JZO,JZO
NEWE,NEWE,NEWE,NEWE
JFCJ,JFCJ,JFCJ,JFCJ
KPM,KPM,KPM,KPM
KYKL,KYKL,KYKL,KYKL
LABR,LABR,LABR,LABR
LRE,LRE,LRE,LRE
LDR,LDR,LDR,LDR
LNC3,LNC3,LNC3,LNC3
LANG,LANG,LANG,LANG
LIO2,LIO2,LIO2,LIO2
LPOR,2414,2414,LPOR
LATJ,2421,2421,LATJ
LSM,LSM,LSM,LSM
LAMP,LAMP,LAMP,LAMP
LAPS,LAPS,LAPS,LAPS
LAPO,LAPO,LAPO,LAPO
LSI,LSI,LSI,LSI
LASR,LASR,LASR,LASR
LTL,LTL,LTL,LTL
LEAP,LEAP,LEAP,LEAP
LDRP,LDRP,LDRP,LDRP
LRH2,LRH2,LRH2,LRH2
LEMI,2090,2090,LEMI
2269,LEMI,LEMI,2269
LCRP,LCRP,LCRP,LCRP
LEST,LEST,LEST,LEST
LSQ,LSQ,LSQ,LSQ
LET,LET,LET,LET
LAM,LAM,LAM,LAM
LOL2,LOL2,LOL2,LOL2
LOF3,LOF3,LOF3,LOF3
LNO,LNO,LNO,LNO
LOE2,LOE2,LOE2,LOE2
LOB,LOB,LOB,LOB
LOM3,LOM3,LOM3,LOM3
LABS,LABS,LABS,LABS
LITE,2472,2472,LITE
LIT,LIT,LIT,LIT
LIC3,LIC3,LIC3,LIC3
LIV,LIV,LIV,LIV
LT,LT,LT,LT
BUSR,BUSR,BUSR,BUSR
LUTS,LUTS,LUTS,LUTS
LS,LS,LS,LS
BIO,BIO,BIO,BIO
MABI,2127,2127,MABI
MACP,2261,2261,MACP
MAME,2264,2264,MAME
MARC,2263,2263,MARC
MREN,2465,2465,MREN
MASY,2265,2265,MASY
MATS,2262,2262,MATS
MRC,MRC,MRC,MRC
MRM,MRM,MRM,MRM
MAM,MAM,MAM,MAM
MARE,MARE,MARE,MARE
MDE,MDE,MDE,MDE
MAEC,MAEC,MAEC,MAEC
MMS,MMS,MMS,MMS
MAS,MAS,MAS,MAS
MACO,2010,2010,MACO
MAWE,2021,2012,MAWE
MCN,MCN,MCN,MCN
MAFI,MAFI,MAFI,MAFI
MALQ,2256,2256,MALQ
MMA,MMA,MMA,MMA
MANA,2239,2239,MANA
DAMA,2116,2116,DAMA
MVE,MVE,MVE,MVE
MAQ,MAQ,MAQ,MAQ
MEDU,MEDU,MEDU,MEDU
MED,MED,MED,MED
MHW,MHW,MHW,MHW
META,META,META,META
MAPS,MAPS,MAPS,MAPS
MET,MET,MET,MET
MEE3,MEE3,MEE3,MEE3
MECA,MECA,MECA,MECA
MBT2,MBT,MBT,MBT2
MIM,MIM,MIM,MIM
MBO3,MBO3,MBO3,MBO3
MICC,MICC,MICC,MICC
MAU,MAU,MAU,MAU
MAA,MAA,MAA,MAA
MAE,MAE,MAE,MAE
MAG,MAG,MAG,MAG
MAEM,MAEM,MAEM,MAEM
JEMT,JEMT,JEMT,JEMT
MICR,MICR,MICR,MICR
MOP,MOP,MOP,MOP
MEPO,MEPO,MEPO,MEPO
MISP,MISP,MISP,MISP
MILT,MILT,MILT,MILT
MILA,MILA,MILA,MILA
MBE,MBE,MBE,MBE
MLRB,MLRB,MLRB,MLRB
MLR,MLR,MLR,MLR
MOTH,MOTH,MOTH,MOTH
MC,MC,MC,MC
MEC,MEC,MEC,MEC
MEN,MER,MER,MEN
MGG3,MGG3,MGG3,MGG3
MINF,QSAR,2022,MINF
MMI,MMI,MMI,MMI
MNFR,2216,2216,MNFR
MOL2,MOL2,MOL2,MOL2
OMI,OMI,OMI,OMI
MPP,MPP,MPP,MPP
MRD,MRD,MRD,MRD
MSB,2705,E705,MSB
MONO,MONO,MONO,MONO
MDS,MDS,MDS,MDS
MDC3,MDC3,MDC3,MDC3
MUS,MUS,MUS,MUS
MSC,MSC,MSC,MSC
MUAN,MUAN,MUAN,MUAN
MUSE,MUSE,MUSE,MUSE
MUSA,MUSA,MUSA,MUSA
MYC,MYC,MYC,MYC
NADC,2003,2003,NADC
E003,NADC,2003,E003
NCR,NCR,NCR,NCR
NANA,NANA,NANA,NANA
GAS,GAS,GAS,GAS
NRM,NRM,NRM,NRM
NARF,NARF,NARF,NARF
NAV,NAV,NAV,NAV
NCMR,NCMR,NCMR,NCMR
NEJO,NEJO,NEJO,NEJO
NEP,NEP,NEP,NEP
NET,NET,NET,NET
NMO,NMO,NMO,NMO
NCN3,NCN3,NCN3,NCN3
NER,NER,NER,NER
NEUP,NEUP,NEUP,NEUP
NAN,NAN,NAN,NAN
NAU,NAU,NAU,NAU
NBFR,NBFR,NBFR,NBFR
ACE,ACE,ACE,ACE
CAD,CAD,CAD,CAD
CC,CC,CC,CC
EV,EV,EV,EV
HE,HE,HE,HE
IR,IR,IR,IR
YD,YD,YD,YD
SS,SS,SS,SS
TL,TL,TL,TL
NHA3,NHA3,NHA3,NHA3
NPQU,NPQU,NPQU,NPQU
NPH,NPH,NPH,NPH
NTWE,NTWE,NTWE,NTWE
NZG,NZG,NZG,NZG
NBM,NBM,NBM,NBM
NBA,NBA,NBA,NBA
NPCR,NPCR,NPCR,NPCR
NML,NML,NML,NML
NJB,NJB,NJB,NJB
NAD,NAD2,NAD2,NAD
NOUS,NOUS,NOUS,NOUS
NLA,NLA,NLA,NLA
NUM,NUM,NUM,NUM
NAE2,NAE2,NAE2,NAE2
NHS,NHS,NHS,NHS
LIFE,NWH,NWH,LIFE
NUF,NUF,NUF,NUF
NICC,NICC,NICC,NICC
NIN,NIN,NIN,NIN
NOP2,NOP2,NOP2,NOP2
NUP,NUP,NUP,NUP
NDI,NDI,NDI,NDI
NBU,NBU,NBU,NBU
OBY,OBY,OBY,OBY
OBR,OBR,OBR,OBR
OSP4,OSP4,OSP4,OSP4
OTI,OTI,OTI,OTI
OCEA,OCEA,OCEA,OCEA
OIK,OIK,OIK,OIK
OET,OET,OET,OET
OETS,OETS,OETS,OETS
OPEC,OPEC,OPEC,OPEC
OPO,OPO,OPO,OPO
OPLP,OPLP,OPLP,OPLP
OPPH,2462,2462,OPPH
OCA,OCA,OCA,OCA
ODI,ODI,ODI,ODI
ORS,ORS,ORS,ORS
OLI,OLI,OLI,OLI
OCR,OCR,OCR,OCR
OS,OS,OS,OS
OBES,OBES,OBES,OBES
OJOA,OJOA,OJOA,OJOA
PAER,PAER,PAER,PAER
PAFO,PAFO,PAFO,PAFO
PAPQ,PAPQ,PAPQ,PAPQ
PACE,PACE,PACE,PACE
PTS,PTS,PTS,PTS
PPE,PPE,PPE,PPE
PME,PME,PME,PME
PAPR,PAPR,PAPR,PAPR
PALA,PALA,PALA,PALA
PALO,PALO,PALO,PALO
SPP2,SPP,SPP,SPP2
PIRS,PIRS,PIRS,PIRS
PIM,PIM,PIM,PIM
PARH,PARH,PARH,PARH
PPSC,2056,2056,PPSC
PIN,PIN,PIN,PIN
PECH,PECH,PECH,PECH
PAI,PAI,PAI,PAI
PAN,PAN,PAN,PAN
MPO,PBC,PBC,MPO
PDE,PDE,PDE,PDE
PEDI,PEDI,PEDI,PEDI
IJPO,IJPO,IJPO,IJPO
PPUL,PPUL,PPUL,PPUL
PETR,PETR,PETR,PETR
PED,PED,PED,PED
PFI,PFI,PFI,PFI
PIQ,PIQ,PIQ,PIQ
PRD,PRD,PRD,PRD
PPP,PPP,PPP,PPP
PERE,PERE,PERE,PERE
PMH,PMH,PMH,PMH
PEPS,PEPS,PEPS,PEPS
PPC,PPC,PPC,PPC
PSRH,PSRH,PSRH,PSRH
PS,PS,PS,PS
PST,PST,PST,PST
PDS,PDS,PDS,PDS
PRP2,PRP2,PRP2,PRP2
PHAR,PHAR,PHAR,PHAR
PHIN,PHIN,PHIN,PHIN
PHIS,PHIS,PHIS,PHIS
PHPE,PHPE,PHPE,PHPE
PAPA,PAPA,PAPA,PAPA
PHPR,PHPR,PHPR,PHPR
PHC3,PHC3,PHC3,PHC3
PHP,PHP,PHP,PHP
PHPP,PHPP,PHPP,PHPP
PRE,PRE,PRE,PRE
PSSA,2231,2231,PSSA
PSSB,2232,2232,PSSB
PSSR,2139,2139,PSSR
PSSC,2133,2133,PSSC
PIUZ,2007,2007,PIUZ
PPL,PPL,PPL,PPL
PHEN,PHEN,PHEN,PHEN
PHY2,PHY2,PHY2,PHY2
PRI,PRI,PRI,PRI
PCA,PCA,PCA,PCA
PTR,PTR,PTR,PTR
PCMR,PCMR,PCMR,PCMR
PLB,PLB,PLB,PLB
PBI,PBI,PBI,PBI
PBR,PBR,PBR,PBR
PPA,PPA,PPA,PPA
PSBI,PSBI,PSBI,PSBI
PCE,PCE,PCE,PCE
PPAP,2410,2410,PPAP
PENG,PENG,PENG,PENG
POI3,POI3,POI3,POI3
PSJ,PSJ,PSJ,PSJ
PLAR,PLAR,PLAR,PLAR
PINS,PINS,PINS,PINS
POPS,POPS,POPS,POPS
POLQ,POLQ,POLQ,POLQ
POST,POST,POST,POST
PSR,PSR,PSR,PSR
PONL,PONL,PONL,PONL
POLP,POLP,POLP,POLP
PC,PC,PC,PC
PEN,PEN,PEN,PEN
PI,PI,PI,PI
PAT,PAT,PAT,PAT
PADR,PADR,PADR,PADR
PSP,PSP,PSP,PSP
POP4,POP4,POP4,POP4
PDI,PDI,PDI,PDI
PD,PD,PD,PD
PSB,PSB,PSB,PSB
PSQ,PSQ,PSQ,PSQ
2130,PAMM,PAMM,2130
PRA,PRA2,PRA2,PRA
PASH,PASH,PASH,PASH
PISM,PISM,PISM,PISM
PRLS,PRL3,PRL3,PRLS
PRS,PRS,PRS,PRS
POMS,POMS,POMS,POMS
PNP,PNP,PNP,PNP
PIP,PIP,PIP,PIP
PMJ,PMJ,PMJ,PMJ
PREP,2014,2014,PREP
PRO,PRO,PRO,PRO
PROT,PROT,PROT,PROT
PMIC,2120,2120,PMIC
PRCA,2456,2456,PRCA
PCHJ,PCHJ,PCHJ,PCHJ
PCN,PCN,PCN,PCN
PSYG,PSYG,PSYG,PSYG
MAR,MAR,MAR,MAR
PAPT,PAPT,PAPT,PAPT
PITS,PITS,PITS,PITS
PON,PON,PON,PON
PSYP,PSYP,PSYP,PSYP
PPI,PPI,PPI,PPI
PADM,PADM,PADM,PADM
PAD,PAD,PAD,PAD
PUAR,PUAR,PUAR,PUAR
PBAF,PBAF,PBAF,PBAF
PHN,PHN,PHN,PHN
QRE,QRE,QRE,QRE
QUAN,QUAN,QUAN,QUAN
QJ,QJ,QJ,QJ
RADM,RADM,RADM,RADM
RDS,PCR3,PCR3,RDS
RSA,RSA,RSA,RSA
RCM,RCM,RCM,RCM
RATI,RATI,RATI,RATI
RAJU,RAJU,RAJU,RAJU
RRQ,RRQ,RRQ,RRQ
REEC,REEC,REEC,REEC
NSR,NSR,NSR,NSR
REG2,REG2,REG2,REG2
RSP3,RSP3,RSP3,RSP3
REGO,REGO,REGO,REGO
RNJ,RNJ,RNJ,RNJ
REC3,REC3,REC3,REC3
RSR,RSR,RSR,RSR
REM,REM,REM,REM
RSE2,RSE2,RSE2,RSE2
REST,REST,REST,REST
RDA,RDA,RDA,RDA
NUR,NUR,NUR,NUR
JRSM,JRSM,JRSM,JRSM
RWM3,RWM3,RWM3,RWM3
RGE,RGE,RGE,RGE
RESP,RESP,RESP,RESP
RCR2,RCR2,RCR2,RCR2
REC,REC,REC,REC
RODE,RODE,RODE,RODE
REV3,REV3,REV3,REV3
REEL,REEL,REEL,REEL
ROIW,ROIW,ROIW,ROIW
ROIE,ROIE,ROIE,ROIE
ROPR,ROPR,ROPR,ROPR
RURD,RURD,RURD,RURD
RAQ,RAQ,RAQ,RAQ
RMV,RMV,RMV,RMV
RIRT,RIRT,RIRT,RIRT
ROG,ROG,ROG,ROG
ILRS,ILRS,ILRS,ILRS
ILRF,ILRF,ILRF,ILRF
RISA,RISA,RISA,RISA
RMIR,RMIR,RMIR,RMIR
RHC3,RHC3,RHC3,RHC3
RRA,RRA,RRA,RRA
RUSO,RUSO,RUSO,RUSO
SCS,SCS,SCS,SCS
SJI,SJI,SJI,SJI
SMS,SMS,SMS,SMS
SJOP,SJOP,SJOP,SJOP
SJOS,SJOS,SJOS,SJOS
SCPS,SCPS,SCPS,SCPS
SCA,SCA,SCA,SCA
SSM,SSM,SSM,SSM
SCE,SCE,SCE,SCE
SCIN,SCIN,SCIN,SCIN
SJPE,SJPE,SJPE,SJPE
SEC,SEC,SEC,SEC
SED,SED,SED,SED
SDI,SDI,SDI,SDI
SM2,SM2,SM2,SM2
SMRJ,SMRJ,SMRJ,SMRJ
SDTP,SDTP,SDTP,SDTP
SIGN,SIGN,SIGN,SIGN
SJTG,SJTG,SJTG,SJTG
SRT,SRT,SRT,SRT
SBR,SBR,SBR,SBR
SMLL,2296,2296,SMLL
SPC3,SPC3,SPC3,SPC3
SOCA,SOCA,SOCA,SOCA
SODE,SODE,SODE,SODE
SIPR,SIPR,SIPR,SIPR
SPOL,SPOL,SPOL,SPOL
SSQU,SSQU,SSQU,SSQU
SORU,SORU,SORU,SORU
SOCF,SOCF,SOCF,SOCF
SOIN,SOIN,SOIN,SOIN
SOC4,SOC4,SOC4,SOC4
SHIL,SHIL,SHIL,SHIL
STVR,STVR,STVR,STVR
SPE,SPE,SPE,SPE
SUM,SUM,SUM,SUM
SONO,SONO,SONO,SONO
SAJE,SAJE,SAJE,SAJE
SOEJ,SOEJ,SOEJ,SOEJ
SWE,SWE3,SWE3,SWE
SWQ,SWQ,SWQ,SWQ
SCD,SCD,SCD,SCD
SPEG,SPEG,SPEG,SPEG
SA,SA,SA,SA
SE,SE,SE,SE
SPEC,SPEC,SPEC,SPEC
STAB,2092,2092,STAB
STAR,2041,2041,STAR
STA4,STA4,STA4,STA4
STAN,STAN,STAN,STAN
SAM,SAM,SAM,SAM
SIM,SIM,SIM,SIM
STCO,2489,2489,STCO
SRIN,2520,2520,SRIN
STEM,STEM,STEM,STEM
STR,STR2,STR2,STR
JSC,JSC,JSC,JSC
SEM3,SEM3,SEM3,SEM3
SEJ,SEJ,SEJ,SEJ
SMJ,SMJ,SMJ,SMJ
SMI,SMI,SMI,SMI
SUCO,SUCO,SUCO,SUCO
STC,STC,STC,STC
SAY,SAY,SAY,SAY
STUL,STUL,STUL,STUL
SAPM,SAPM,SAPM,SAPM
SENA,SENA,SENA,SENA
SIFP,SIFP,SIFP,SIFP
SFR,SFR,SFR,SFR
SLTB,SLTB,SLTB,SLTB
SUFL,SUFL,SUFL,SUFL
SIA,SIA,SIA,SIA
ASH,ASH,ASH,ASH
SD,SD,SD,SD
SPSR,SPSR,SPSR,SPSR
SYMB,SYMB,SYMB,SYMB
SYN,SYN,SYN,SYN
SYNT,SYNT,SYNT,SYNT
SDR,SDR,SDR,SDR
SYEN,SYEN,SYEN,SYEN
SYS,SYS,SYS,SYS
SRBS,SRES,SRES,SRBS
TEST,TEST,TEST,TEST
TETH,TETH,TETH,TETH
TECT,TECT,TECT,TECT
TER,TER,TER,TER
TEM2,TEM2,TEM2,TEM2
TESJ,TESJ,TESJ,TESJ
TESQ,TESQ,TESQ,TESQ
AJES,AJES,AJES,AJES
AJAD,AJAD,AJAD,AJAD
AR,AR,AR,AR
AJO,AJO,AJO,AJO
AERE,AERE,AERE,AERE
AJAR,AJAR,AJAR,AJAR
TAJA,TAJA,TAJA,TAJA
TBJ,TBJ,TBJ,TBJ
CPU,CPU,CPU,CPU
CBL,CBL,CBL,CBL
PU,PU,PU,PU
BES2,BES2,BES2,BES2
CAG,CAG,CAG,CAG
CJCE,CJCE,CJCE,CJCE
CJS,CJS,CJS,CJS
CDQ,CDQ,CDQ,CDQ
TCR,2920,2920,TCR
CRJ,CRJ,CRJ,CRJ
TCT,TCT,TCT,TCT
TCL,TCL,TCL,TCL
DCH,DCH,DCH,DCH
DEP2,DEP2,DEP2,DEP2
DEVE,DEVE,DEVE,DEVE
ECTJ,ECTJ,ECTJ,ECTJ
EHR,EHR,EHR,EHR
ECOJ,ECOJ,ECOJ,ECOJ
EREV,EREV,EREV,EREV
EMBJ,2328,2328,EMBJ
FIRE,FIRE,FIRE,FIRE
GEOJ,GEOJ,GEOJ,GEOJ
GEQU,GEQU,GEQU,GEQU
HAST,HAST,HAST,HAST
HEYJ,HEYJ,HEYJ,HEYJ
HISN,HISN,HISN,HISN
SHM,SHM,SHM,SHM
HOJO,HOJO,HOJO,HOJO
JADE,JADE,JADE,JADE
HPM,HPM,HPM,HPM
RCS,RCS,RCS,RCS
IJNA,IJNA,IJNA,IJNA
JERE,JERE,JERE,JERE
JAAC,JAAC,JAAC,JAAC
JACC,JACC,JACC,JACC
JCPH,JCP6,JCP6,JCPH
CNE,CNE,CNE,CNE
CBE2,CBE2,CBE2,CBE2
JOCB,JOCB,JOCB,JOCB
JDE,JDE,JDE,JDE
JEU,JEU,JEU,JEU
JFIR,JFIR,JFIR,JFIR
JGM,JGM,JGM,JGM
JOHC,JOHC,JOHC,JOHC
JMWH,JMWH,JMWH,JMWH
PATH,PATH,PATH,PATH
CJP2,CJP2,CJP2,CJP2
JPCU,JPCU,JPCU,JPCU
JRH,JRH,JRH,JRH
JGS,JGS,JGS,JGS
JWMG,JWMG,JWMG,JWMG
JWIP,JWIP,JWIP,JWIP
LARY,LARY,LARY,LARY
TLA,TLA,TLA,TLA
LSNL,LSNL,LSNL,LSNL
MGR,MGR,MGR,MGR
MANC,MANC,MANC,MANC
MMR,MMR,MMR,MMR
MILQ,MILQ,MILQ,MILQ
MODL,MODL,MODL,MODL
MUWO,MUWO,MUWO,MUWO
NTLF,NTLF,NTLF,NTLF
TOG,TOG,TOG,TOG
PHIL,PHIL,PHIL,PHIL
PHOR,PHOR,PHOR,PHOR
TPJ,TPJ,TPJ,TPJ
POQU,POQU,POQU,POQU
PROS,PROS,PROS,PROS
PSAQ,PSAQ,PSAQ,PSAQ
RAND,RAND,RAND,RAND
TRTR,TRTR,TRTR,TRTR
THR,THR,THR,THR
RUSS,RUSS,RUSS,RUSS
SJOE,SJOE,SJOE,SJOE
TSQ,TSQ,TSQ,TSQ
SORE,SORE,SORE,SORE
SORM,SORM,SORM,SORM
SJP,SJP,SJP,SJP
TAL,TAL,TAL,TAL
TSR,TSR,TSR,TSR
VMR,VMR,VMR,VMR
TWEC,TWEC,TWEC,TWEC
YREV,YREV,YREV,YREV
THEC,THEC,THEC,THEC
THEO,THEO,THEO,THEO
TAP,TAP,TAP,TAP
TCA,TCA,TCA,TCA
THT3,THT,THT,THT3
TIE,TIE,TIE,TIE
TESG,TESG,TESG,TESG
TAN,TAN,TAN,TAN
TIA2,TIA2,TIA2,TIA2
TOPS,TOPS,TOPS,TOPS
TKM2,TKM2,TKM2,TKM2
TRA,TRA,TRA,TRA
TGIS,TGIS,TGIS,TGIS
TRAN,TRAN,TRAN,TRAN
TLB,TLB,TLB,TLB
