Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
EHR,Economic History Review,N-Society Owned,,,,3000,2000.0,2500,,,SSH,2750,None,None,-500,2250,No,0,2250,0,2500,2500,No direct competitors,0,2500,2500,2500,-500,3000,3060,0.02,No,0,,,,,,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIP,Early Intervention in Psychiatry,O-Proprietary Owned,4100.0,2750.0,3400.0,4100,2750.0,3400,0.0,0.0,Health Sci,3250,0.944,0.9,900,4150,No,0,4150,14,0,4150,No direct competitors,0,4150,4150,4150,50,4200,4284,0.0448780487804878,No,0,1274.2804561495325,-2925.7195438504677,0,6.42169411682243,0,4300,2900,3550,200,0.05,3-5%,Increase,Yes,4300,4300,2900,3550,57400,60200,35014.226875,37215.56815625,2501.016205357143,2658.2548683035716,0.1,15.400000000000002,38515.64956250001,0.04878048780487805,0.0,0.0,15.400000000000002,40937.12497187501,5922.898096875011,,0.1691569006512588,6.776000000000001,8.624000000000002,14885.659437499999,1063.261388392857,7204.65916775,22924.78998425001,30129.44915200001,14645.568156250001,1046.1120111607145,16110.124971875006,2201.341281250003,1148.0,-1053.3412812500028
EJE,European Journal of Dental Education,O-Proprietary Owned,3300.0,2200.0,2750.0,3300,2200.0,2750,0.0,0.0,Health Sci,3250,0.819,0.8,800,4050,No,0,4050,27,500,4550,No direct competitors,0,4550,4550,4550,1250,4600,4692,0.4218181818181818,No,0,753.0571126030043,-3846.9428873969955,0,198.88780577682405,0,4700,3100,3900,1400,0.42,over 40%,Increase,Yes,4700,4700,3100,3900,89100,126900,96244.2662,112086.60413023256,3564.6024518518516,4151.355708527132,0.1,29.700000000000003,105868.69282,0.42424242424242425,-0.2,-0.08484848484848485,27.180000000000003,112833.84815776747,16589.58195776747,,0.1723695614582749,11.959200000000001,15.220800000000002,34926.672923255814,1293.5804786391043,15470.187660140777,63186.95496834978,78657.14262849056,32406.191372093024,1200.2293100775194,32622.23264790698,15842.337930232563,1782.0,-14060.337930232563
EJED,European Journal of Education,O-Proprietary Owned,2600.0,1750.0,2150.0,2600,1750.0,2150,0.0,0.0,SSH,2750,0.648,0.6,600,3350,No,0,3350,8,0,3350,No direct competitors,0,3350,3350,3350,750,3400,3468,0.33384615384615385,No,0,14188.633938117648,10788.633938117648,Subscription revenue considerably higher than APC - please review,0.0,0,3450,2350,2850,850,0.33,31-35%,Increase,Yes,3450,3450,2350,2850,20800,27600,17538.850373,25833.1190595,2192.356296625,3229.1398824375,0.1,8.8,19292.735410300003,0.3269230769230769,-0.1,-0.032692307692307694,8.512307692307694,27487.432260810292,9948.581887810291,,0.5672311283939985,3.7454153846153853,4.766892307692308,10597.560646959999,1324.6950808699999,4961.533335814819,15392.962066053764,20354.495401868582,10458.1190595,1307.2648824375,11127.840914656445,8294.2686865,416.0,-7878.2686865
EJH,European Journal of Haematology,O-Proprietary Owned,3400.0,2250.0,2850.0,3400,2250.0,2850,0.0,0.0,Health Sci,3250,0.15000000000000002,0.2,-100,3150,No,0,3150,22,500,3650,No direct competitors,0,3650,3650,3650,250,3700,3774,0.11,No,0,891.9390780141845,-2808.0609219858156,0,1.176241134751773,0,3750,2500,3150,350,0.1,16-20%,Increase,Yes,3750,3750,2500,3150,74800,82500,55849.582125,83516.78833333333,2538.6173693181818,3796.2176515151514,0.1,24.200000000000003,61434.54033750001,0.10294117647058823,0.0,0.0,24.200000000000003,91868.46716666667,36018.88504166667,,0.6449266703741996,10.648000000000001,13.552000000000001,35758.2481875,1625.3749176136364,17306.99212275,51446.34161333334,68753.33373608334,35816.78833333334,1628.0358333333336,39398.467166666676,27667.20620833333,1496.0,-26171.20620833333
EJHF,European Journal of Heart Failure,N-Society Owned,4300.0,2850.0,3600.0,4700,3100.0,3950,400.0,0.09302325581395349,Health Sci,3250,0.798,0.8,800,4050,No,0,4050,17,0,4050,No direct competitors,0,4050,4050,4050,-650,4700,4794,0.02,No,0,4335.267705241612,-364.732294758388,0,2.64037767114094,0,4800,3150,4050,100,0.02,1-2%,Increase,Yes,4800,4800,3150,4050,79900,81600,55225.17,57598.18625,3248.5394117647056,3388.1286029411763,0.1,18.700000000000003,60747.687000000005,0.02127659574468085,0.0,0.0,18.700000000000003,63358.004875000006,8132.834875000008,,0.14726681466077893,8.228000000000002,10.472000000000001,29527.2025,1736.8942647058823,14291.166010000003,35480.48273,49771.648740000004,29628.186250000002,1742.8344852941177,32591.004875000006,2373.0162500000006,1598.0,-775.0162500000006
EJI,European Journal of Immunology,O-Proprietary Owned,3500.0,2500.0,3000.0,3850,2750.0,3300,350.0,0.1,Life Sci,3250,0.368,0.4,300,3550,No,0,3550,19,0,3550,No direct competitors,0,3550,3550,3550,-300,3900,3978,0.03324675324675325,No,0,2865.6962,-1034.3038000000001,0,0.0,0,4000,2850,3450,150,0.04,3-5%,Increase,Yes,4000,4000,2850,3450,73150,76000,44605.136,48427.440068965516,2347.638736842105,2548.8126352087115,0.1,20.900000000000002,49065.649600000004,0.03896103896103896,0.0,0.0,20.900000000000002,53270.184075862075,8665.048075862076,,0.19426121861531992,9.196000000000002,11.704,8748.244137931035,460.43390199637025,4234.150162758621,29831.303082482762,34065.453245241384,8602.440068965518,452.76000362976407,9462.68407586207,3822.304068965517,1463.0,-2359.304068965517
EJIC,European Journal of Inorganic Chemistry,N-Society Owned,3500.0,2350.0,2900.0,3700,2500.0,3050,200.0,0.05714285714285714,Physical Sci,3500,0.01200000000000001,0,-500,3000,No,0,3000,3,-500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,14146.488585858582,10446.488585858582,Subscription revenue considerably higher than APC - please review,0.0,0,3750,2550,3100,50,0.01,1-2%,Increase,Yes,3750,3750,2550,3100,11100,11250,7500.0,7650.0,2500.0,2550.0,0.1,3.3000000000000003,8250.0,0.013513513513513514,0.0,0.0,3.3000000000000003,8415.0,915.0,,0.122,1.4520000000000002,1.848,7800.0,2600.0,3775.2000000000003,4712.400000000001,8487.6,7650.0,2550.0,8415.0,150.0,222.0,72.0
EJLT,European Journal of Lipid Science and Technology,O-Proprietary Owned,3800.0,2550.0,3150.0,3800,2550.0,3150,0.0,0.0,Life Sci,3250,0.97,1,1000,4250,No,0,4250,9,0,4250,No direct competitors,0,4250,4250,4250,450,4300,4386,0.15421052631578946,No,0,5936.068717948718,1636.0687179487177,0,0.0,0,4400,2950,3650,600,0.16,16-20%,Increase,Yes,4400,4400,2950,3650,34200,39600,23908.51925,24992.415375,2656.502138888889,2776.9350416666666,0.1,9.9,26299.371175000004,0.15789473684210525,-0.1,-0.015789473684210527,9.743684210526316,27057.57811914474,3149.0588691447374,,0.1317128357560135,4.287221052631579,5.456463157894738,13975.4365,1552.8262777777777,6657.309509168421,15152.243746721055,21809.553255889477,13769.915375,1529.9905972222223,14907.745224407896,1083.8961249999993,684.0,-399.8961249999993
EJN,European Journal of Neuroscience,J-Joint Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Life Sci,3250,0.558,0.6,600,3850,No,0,3850,8,0,3850,No direct competitors,0,3850,3850,3850,850,3900,3978,0.326,No,0,2338.1822621239667,-1561.8177378760333,0,0.0,0,4000,2650,3350,1000,0.33,31-35%,Increase,Yes,4000,4000,2650,3350,24000,32000,30104.1,31365.0,3763.0125,3920.625,0.1,8.8,33114.51,0.3333333333333333,-0.2,-0.06666666666666667,8.213333333333335,32201.400000000005,2097.3000000000065,,0.06966825116844572,3.6138666666666674,4.599466666666667,4150.0,518.75,1874.6933333333338,18032.784000000003,19907.477333333336,4100.0,512.5,4209.333333333334,1260.9000000000015,480.0,-780.9000000000015
EJOC,European Journal of Organic Chemistry,N-Society Owned,3500.0,2350.0,2900.0,3850,2600.0,3200,350.0,0.1,Physical Sci,3500,0.15500000000000003,0.2,-100,3400,No,0,3400,1,-500,2900,No direct competitors,0,2900,2900,2900,-950,3900,3978,0.03324675324675325,No,0,6226.473740900002,2326.4737409000018,Subscription revenue considerably higher than APC - please review,0.0,0,4000,2700,3350,150,0.04,3-5%,Increase,Yes,4000,4000,2700,3350,3850,4000,2563.0795,3844.6192499999997,2563.0795,3844.6192499999997,0.1,1.1,2819.38745,0.03896103896103896,0.0,0.0,1.1,4229.081175,1666.0016750000004,,0.6500000000000002,0.48400000000000004,0.6160000000000001,3893.909240384615,3893.909240384615,1884.6520723461538,2368.2854580000003,4252.937530346154,3844.6192499999997,3844.6192499999997,4229.081175,1281.53975,77.0,-1204.53975
EJOP,European Journal of Philosophy,O-Proprietary Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,SSH,2750,0.46699999999999997,0.5,500,3250,No,0,3250,2,-500,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,13982.850485911767,11182.850485911767,Subscription revenue considerably higher than APC - please review,0.0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,5000,5700,4104.095,4507.169506462984,2052.0475,2253.584753231492,0.1,2.2,4514.504500000001,0.14,0.0,0.0,2.2,4957.886457109283,853.7914571092824,,0.20803403846872023,0.9680000000000001,1.2320000000000002,0.0,0.0,0.0,2776.4164159811985,2776.4164159811985,0.0,0.0,0.0,403.07450646298366,100.0,-303.07450646298366
EJP,European Journal of Pain,N-Society Owned,4000.0,2667.0,3333.0,4000,2667.0,3333,0.0,0.0,Health Sci,3250,None,None,-500,2750,No,0,2750,0,2500,2500,No direct competitors,0,2500,2500,2500,-1500,4000,4080,0.02,No,0,1198.9626131428572,-2801.037386857143,0,0.0,0,4100,2750,3450,100,0.03,3-5%,Increase,Yes,4100,4100,2750,3450,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJPR,European Journal of Political Research,N-Society Owned,3600.0,2400.0,3000.0,3600,2400.0,3000,0.0,0.0,SSH,2750,0.96,1,1000,3750,No,0,3750,12,0,3750,No direct competitors,0,3750,3750,3750,150,3800,3876,0.07666666666666666,No,0,7165.582630727274,3365.5826307272737,Subscription revenue considerably higher than APC - please review,0.0,0,3900,2600,3250,300,0.08,6-10%,Increase,Yes,3900,3900,2600,3250,43200,46800,50421.242,51293.31404444444,4201.770166666666,4274.442837037037,0.1,13.200000000000001,55463.3662,0.08333333333333333,0.0,0.0,13.200000000000001,56422.64544888889,6001.403448888894,,0.11902529987041759,5.808000000000001,7.392,27438.350066666666,2286.5291722222223,13280.161432266668,31596.68145137778,44876.84288364445,26553.242,2212.7701666666667,29208.5662,872.072044444445,864.0,-8.072044444445055
EJSP,European Journal of Social Psychology,O-Proprietary Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,SSH,2750,0.22499999999999998,0.2,-100,2650,No,0,2650,5,-500,2150,No direct competitors,0,2150,2150,2150,-850,3000,3060,0.02,No,0,4751.3645,1751.3644999999997,0,0.0,0,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,15000,15250,12353.0,15795.0,2470.6,3159.0,0.1,5.5,13588.3,0.016666666666666666,0.0,0.0,5.5,17374.5,5021.5,,0.40650044523597506,2.42,3.08,3950.0,790.0,1911.8,9729.72,11641.519999999999,3900.0,780.0,4290.0,3442.0,300.0,-3142.0
EJSS,European Journal of Soil Science,N-Society Owned,4000.0,2650.0,3350.0,4100,2700.0,3450,100.0,0.025,Life Sci,3250,0.712,0.7,700,3950,No,0,3950,8,0,3950,No direct competitors,0,3950,3950,3950,-150,4100,4182,0.02,No,0,6925.505308387097,2825.505308387097,Subscription revenue considerably higher than APC - please review,1.4687083064516127,0,4200,2750,3500,100,0.02,1-2%,Increase,Yes,4200,4200,2750,3500,32800,33600,23291.9520625,24741.67715625,2911.4940078125,3092.70964453125,0.1,8.8,25621.147268750003,0.024390243902439025,0.0,0.0,8.8,27215.844871875,3923.892809375,,0.1684656055810994,3.8720000000000003,4.928000000000001,16875.2521875,2109.4065234375,8167.62205875,15240.873128250003,23408.495187000004,16634.17715625,2079.27214453125,18297.594871875,1449.7250937499994,656.0,-793.7250937499994
ELAN,Electroanalysis,O-Proprietary Owned,3000.0,2000.0,2500.0,3300,2200.0,2750,300.0,0.1,Physical Sci,3500,0.619,0.6,600,4100,No,0,4100,4,-500,3600,No direct competitors,0,3600,3600,3600,300,3600,3672,0.11272727272727273,No,0,7687.010555555555,4087.0105555555547,Subscription revenue considerably higher than APC - please review,0.0,0,3650,2450,3050,350,0.11,11-15%,Increase,Yes,3650,3650,2450,3050,13200,14600,12376.75,12937.5,3094.1875,3234.375,0.1,4.4,13614.425000000001,0.10606060606060606,0.0,0.0,4.4,14231.250000000002,1854.5000000000018,,0.14983739673177546,1.9360000000000002,2.4640000000000004,3500.0,875.0,1694.0000000000002,7969.500000000001,9663.500000000002,3450.0,862.5,3795.0000000000005,560.75,264.0,-296.75
ELE,Ecology Letters,J-Joint Owned,4500.0,3000.0,3750.0,4800,3200.0,4000,300.0,0.06666666666666667,Life Sci,3250,0.31599999999999995,0.3,100,3350,No,0,3350,3,-500,2850,No direct competitors,0,2850,2850,2850,-1950,4800,4896,0.02,No,0,1945.0905046709402,-2854.9094953290596,0,47.09008011965812,0,4900,3250,4100,100,0.02,1-2%,Increase,Yes,4900,4900,3250,4100,14400,14700,7865.7565875,8342.918449080882,2621.9188625,2780.972816360294,0.1,3.3000000000000003,8652.332246250002,0.020833333333333332,0.0,0.0,3.3000000000000003,9177.210293988972,1311.4537064889719,,0.16672950553454588,1.4520000000000002,1.848,5838.830310661764,1946.276770220588,2825.9938703602943,5139.237764633824,7965.2316349941175,5755.418449080882,1918.472816360294,6330.960293988971,477.16186158088203,288.0,-189.16186158088203
ELPS,ELECTROPHORESIS,O-Proprietary Owned,3500.0,2333.0,2917.0,3850,2550.0,3200,350.0,0.1,Life Sci,3250,0.71,0.7,700,3950,No,0,3950,3,-500,3450,No direct competitors,0,3450,3450,3450,-400,3900,3978,0.03324675324675325,No,0,339.7839730588236,-3560.2160269411766,0,0.0,0,4000,2650,3350,150,0.04,3-5%,Increase,Yes,4000,4000,2650,3350,11550,12000,8063.0,8542.5,2687.6666666666665,2847.5,0.1,3.3000000000000003,8869.300000000001,0.03896103896103896,0.0,0.0,3.3000000000000003,9396.75,1333.75,,0.16541609822646658,1.4520000000000002,1.848,3400.0,1133.3333333333333,1645.6000000000001,5262.18,6907.780000000001,3350.0,1116.6666666666667,3685.0000000000005,479.5,231.0,-248.5
EM,Environmental and Molecular Mutagenesis,N-Society Owned,3000.0,2000.0,2500.0,3300,2200.0,2750,300.0,0.1,Health Sci,3250,0.702,0.7,700,3950,No,0,3950,15,0,3950,No direct competitors,0,3950,3950,3950,650,4000,4080,0.23636363636363636,No,0,1750.1234525663717,-2249.8765474336283,0,201.79013482300888,0,4100,2750,3400,800,0.24,21-25%,Increase,Yes,4100,4100,2750,3400,49500,61500,54922.955425,57601.00799634146,3661.5303616666665,3840.0671997560976,0.1,16.5,60415.2509675,0.24242424242424243,-0.1,-0.024242424242424246,16.099999999999998,61825.08191607316,6902.1264910731625,,0.12566924772463048,7.083999999999999,9.015999999999998,32574.234282012196,2171.615618800813,15383.725043584956,34622.04587300097,50005.77091658593,33091.00799634146,2206.0671997560976,35517.68191607317,2678.052571341461,990.0,-1688.0525713414609
EMBJ,The EMBO Journal,N-Society Owned,5200.0,4200.0,4700.0,5200,4200.0,4700,0.0,0.0,Life Sci,3250,None,None,-500,2750,No,0,2750,7,0,2750,No direct competitors,0,2750,2750,2750,-2450,5200,5304,0.02,No,0,4105.932898550726,-1094.0671014492737,0,4.8536231884057965,0,5300,4300,4800,100,0.02,1-2%,Increase,Yes,5300,5300,4300,4800,36400,37100,18442.25,19703.125,2634.6071428571427,2814.7321428571427,0.1,7.700000000000001,20286.475000000002,0.019230769230769232,0.0,0.0,7.700000000000001,21673.4375,3231.1875,,0.17520570971546315,3.3880000000000003,4.312000000000001,9281.25,1325.892857142857,4492.125,12137.125000000002,16629.25,9140.625,1305.8035714285713,10054.6875,1260.875,728.0,-532.875
EMBR,EMBO Reports,N-Society Owned,5200.0,4200.0,4700.0,5200,4200.0,4700,0.0,0.0,Life Sci,3250,0.25,0.3,100,3350,No,0,3350,12,0,3350,No direct competitors,0,3350,3350,3350,-1850,5200,5304,0.02,No,0,8214.245079317021,3014.245079317021,Subscription revenue considerably higher than APC - please review,0.0,0,5300,4300,4800,100,0.02,1-2%,Increase,Yes,5300,5300,4300,4800,62400,63600,38000.0,39000.0,3166.6666666666665,3250.0,0.1,13.200000000000001,41800.0,0.019230769230769232,0.0,0.0,13.200000000000001,42900.0,4900.0,,0.12894736842105264,5.808000000000001,7.392,39500.0,3291.6666666666665,19118.0,24024.0,43142.0,39000.0,3250.0,42900.0,1000.0,1248.0,248.0
EMED,Early Medieval Europe,O-Proprietary Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,SSH,2750,None,None,-500,2250,No,0,2250,80,500,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,0.0,-2800.0,0,0.0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,200000,228000,263937.07509999996,280406.42467932065,3299.2134387499996,3505.0803084915083,0.1,88.0,290330.78260999994,0.14,0.0,0.0,88.0,308447.06714725273,44509.992047252774,,0.16863865006607698,38.72,49.28,57397.73094935065,717.471636866883,27780.501779485712,172730.35760246153,200510.85938194726,56689.11698701298,708.6139623376623,62358.028685714286,16469.349579320697,4000.0,-12469.349579320697
EMI,Environmental Microbiology,J-Joint Owned,4200.0,3000.0,3600.0,4200,3000.0,3600,0.0,0.0,Life Sci,3250,None,None,-500,2750,No,0,2750,9,0,2750,No direct competitors,0,2750,2750,2750,-1450,4200,4284,0.02,No,0,0.0,-4200.0,0,0.0,0,4300,3050,3650,100,0.02,1-2%,Increase,Yes,4300,4300,3050,3650,37800,38700,29549.4225,31973.766666666666,3283.269166666667,3552.6407407407405,0.1,9.9,32504.364750000004,0.023809523809523808,0.0,0.0,9.9,35171.14333333333,5621.720833333333,,0.19024807788826778,4.356,5.5440000000000005,12123.43875,1347.04875,5867.744355,19695.840266666666,25563.584621666665,12473.766666666666,1385.974074074074,13721.143333333333,2424.344166666666,756.0,-1668.3441666666658
EMI4,Environmental Microbiology Reports,J-Joint Owned,3600.0,2400.0,3000.0,3600,2400.0,3000,0.0,0.0,Life Sci,3250,0.862,0.9,900,4150,No,0,4150,122,500,4650,No direct competitors,0,4650,4650,4650,1050,4700,4794,0.33166666666666667,No,0,556.8177305839794,-4143.182269416021,0,5083.469206966409,Corporate revenue exceeds,4800,3200,4000,1200,0.33,31-35%,Increase,Yes,4800,4800,3200,4000,439200,585600,512578.8530205,529756.5634096661,4201.466008364754,4342.266913193984,0.1,134.20000000000002,563836.7383225501,0.3333333333333333,-0.2,-0.06666666666666667,125.25333333333334,543883.4051005905,31304.552080090565,,0.06107265622766255,55.11146666666667,70.14186666666667,414241.9956328565,3395.4261937119386,187126.91749388239,304574.7068563307,491701.6243502131,384348.2433706913,3150.395437464683,394597.52986057644,17177.71038916608,8784.0,-8393.71038916608
EMIP,Educational Measurement: Issues and Practices,N-Society Owned,0.0,0.0,0.0,3000,2350.0,2700,3000.0,0.0,SSH,2750,0.851,0.9,900,3650,No,0,3650,2,-500,3150,No direct competitors,0,3150,3150,3150,150,3200,3264,0.088,No,0,,,,,,3250,2550,2900,250,0.08,6-10%,Increase,Yes,3250,3250,2550,2900,6000,6500,5000.0,5181.818181818182,2500.0,2590.909090909091,0.1,2.2,5500.0,0.08333333333333333,0.0,0.0,2.2,5700.000000000001,700.0000000000009,,0.14000000000000018,0.9680000000000001,1.2320000000000002,5272.727272727273,2636.3636363636365,2552.0000000000005,3192.0000000000005,5744.000000000001,5181.818181818182,2590.909090909091,5700.000000000001,181.81818181818198,120.0,-61.81818181818198
EMM,Emergency Medicine Australasia,N-Society Owned,3300.0,2200.0,2750.0,3300,2200.0,2750,0.0,0.0,Health Sci,3250,None,None,-500,2750,No,0,2750,2,-500,2250,No direct competitors,0,2250,2250,2250,-1050,3300,3366,0.02,No,0,1119.7539436619718,-2180.246056338028,0,0.0,0,3350,2250,2800,50,0.02,1-2%,Increase,Yes,3350,3350,2250,2800,6600,6700,3966.032,4080.0,1983.016,2040.0,0.1,2.2,4362.635200000001,0.015151515151515152,0.0,0.0,2.2,4488.0,521.9679999999998,,0.13160962896920647,0.9680000000000001,1.2320000000000002,0.0,0.0,0.0,2513.28,2513.28,0.0,0.0,0.0,113.96799999999985,132.0,18.032000000000153
EMR,Ecological Management & Restoration,J-Joint Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,Life Sci,3250,None,None,-500,2750,No,0,2750,17,0,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,0.0,-2800.0,0,0.0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,42500,48450,36620.68875,53309.25166666666,2154.158161764706,3135.838333333333,0.1,18.700000000000003,40282.75762500001,0.14,0.0,0.0,18.700000000000003,58640.17683333334,22019.488083333337,,0.6012854709985032,8.228000000000002,10.472000000000001,10640.617312499999,625.9186654411764,5150.05877925,32838.49902666667,37988.55780591667,10509.251666666667,618.191274509804,11560.176833333337,16688.562916666662,850.0,-15838.562916666662
EMRE,European Management Review,N-Society Owned,2500.0,1650.0,2100.0,2500,1650.0,2100,0.0,0.0,SSH,2750,0.6839999999999999,0.7,700,3450,No,0,3450,7,0,3450,No direct competitors,0,3450,3450,3450,950,3500,3570,0.428,No,0,6901.015868285715,3401.0158682857154,Subscription revenue considerably higher than APC - please review,0.0,0,3550,2350,3000,1050,0.42,over 40%,Increase,Yes,3550,3550,2350,3000,17500,24850,21659.222560000002,28896.367577142857,3094.174651428572,4128.052511020408,0.1,7.700000000000001,23825.144816000007,0.42,-0.2,-0.084,7.053200000000001,29115.979970729146,7456.757410729144,,0.3442763187862613,3.1034080000000004,3.949792000000001,4192.438328,598.9197611428572,1858.6923780888324,16304.948783608323,18163.641161697156,4146.367577142858,592.3382253061226,4177.879970729145,7237.145017142855,350.0,-6887.145017142855
ENE,European Journal of Neurology,N-Society Owned,4100.0,2733.0,3417.0,4100,2733.0,3417,0.0,0.0,Health Sci,3250,None,None,-500,2750,No,0,2750,2,-500,2250,No direct competitors,0,2250,2250,2250,-1850,4100,4182,0.02,No,0,2435.205616026316,-1664.794383973684,0,0.0,0,4200,2800,3500,100,0.02,1-2%,Increase,Yes,4200,4200,2800,3500,8200,8400,4232.9490000000005,7282.13428,2116.4745000000003,3641.06714,0.1,2.2,4656.243900000001,0.024390243902439025,0.0,0.0,2.2,8010.347708000001,3777.3987080000006,,0.8923799242561156,0.9680000000000001,1.2320000000000002,3669.31026,1834.65513,1775.9461658400003,4485.794716480001,6261.740882320001,3627.13428,1813.56714,3989.8477080000007,3049.1852799999997,164.0,-2885.1852799999997
ENR,Entomological Research,J-Joint Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,Life Sci,3250,0.46699999999999997,0.5,500,3750,No,0,3750,1,-500,3250,No direct competitors,0,3250,3250,3250,750,3300,3366,0.3464,No,0,0.0,-3300.0,0,0.0,0,3350,2250,2800,850,0.34,31-35%,Increase,Yes,3350,3350,2250,2800,2500,3350,2754.85,2950.0,2754.85,2950.0,0.1,1.1,3030.335,0.34,-0.1,-0.034,1.0626,3134.67,379.82000000000016,,0.1378732054376827,0.467544,0.595056,0.0,0.0,0.0,1755.4152000000001,1755.4152000000001,0.0,0.0,0.0,195.1500000000001,50.0,-145.1500000000001
ENS,Entomological Science,N-Society Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Life Sci,3250,None,None,-500,2750,No,0,2750,0,2500,2500,No direct competitors,0,2500,2500,2500,-500,3000,3060,0.02,No,0,0.0,-3000.0,0,0.0,0,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTE,Energy Technology,O-Proprietary Owned,3800.0,2550.0,3150.0,4000,2700.0,3300,200.0,0.05263157894736842,Physical Sci,3500,0.954,1,1000,4500,No,0,4500,47,500,5000,No direct competitors,0,5000,5000,5000,1000,5000,5100,0.275,No,0,2446.7628015241644,-2553.2371984758356,0,191.82773783271375,0,5100,3450,4200,1100,0.28,26-30%,Increase,Yes,5100,5100,3450,4200,188000,239700,162072.30375,174446.95979166665,3448.3468882978723,3711.637442375886,0.1,51.7,178279.534125,0.275,-0.2,-0.05500000000000001,48.8565,181337.61470343746,19265.310953437467,,0.11886861917601062,21.496859999999998,27.35964,72510.4128125,1542.7747406914893,33164.812612181246,101549.06423392499,134713.87684610623,71876.95979166667,1529.2970168439717,74716.0997034375,12374.656041666662,3760.0,-8614.656041666662
ENV,Environmetrics,O-Proprietary Owned,3700.0,2450.0,3100.0,3700,2450.0,3100,0.0,0.0,Physical Sci,3500,0.478,0.5,500,4000,No,0,4000,19,0,4000,No direct competitors,0,4000,4000,4000,300,4000,4080,0.10270270270270271,No,0,824.6290588235295,-3175.3709411764703,0,8.848647058823529,0,4100,2700,3450,400,0.11,11-15%,Increase,Yes,4100,4100,2700,3450,70300,77900,58404.642775,59617.25304026702,3073.928567105263,3137.750160014054,0.1,20.900000000000002,64245.1070525,0.10810810810810811,0.0,0.0,20.900000000000002,65578.97834429373,7174.335569293733,,0.122838446199087,9.196000000000002,11.704,48203.63962132353,2537.033664280186,23330.561576720593,36724.22787280449,60054.78944952508,50250.31031580883,2644.753174516254,55275.341347389716,1212.6102652670234,1406.0,193.38973473297665
