Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
EEN,Ecological Entomology,N-Society Owned,3600,2400,3000,3600,2400,3000,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,4,-500,2250,No direct competitors,0,2250,2250,2250,-1350,3600,3672,0.02,No,0,2503.691333,-1096.308667,0,0,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,14400,14600,7375.975,11862.5,1843.99375,2965.625,0.1,4.4,8113.5725,0.013888889,0,0,4.4,13048.75,5672.775,,0.769088154,1.936,2.464,3700,925,1790.8,7307.3,9098.1,3650,912.5,4015,4486.525,288,-4198.525
EET,Environmental Policy and Governance,J-Joint Owned,2900,1950,2400,2900,1950,2400,0,0,SSH,2750,None,None,-500,2250,No,0,2250,0,2500,2500,No direct competitors,0,2500,2500,2500,-400,2900,2958,0.02,No,0,3.121034483,-2896.878966,0,0,0,2950,2000,2450,50,0.02,1-2%,Increase,Yes,2950,2950,2000,2450,0,0,0,0,0,0,0.1,0,0,0.017241379,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFF,Ecology of Freshwater Fish,O-Proprietary Owned,3600,2400,3000,3600,2400,3000,0,0,Life Sci,3250,0.536,0.5,500,3750,No,0,3750,2,-500,3250,No direct competitors,0,3250,3250,3250,-350,3600,3672,0.02,No,0,0,-3600,0,0,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,7200,7300,5950,6100,2975,3050,0.1,2.2,6545,0.013888889,0,0,2.2,6710,760,,0.127731092,0.968,1.232,0,0,0,3757.6,3757.6,0,0,0,150,144,-6
EFP,Forest Pathology,O-Proprietary Owned,3500,2333,2917,3500,2333,2917,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,11,0,2750,No direct competitors,0,2750,2750,2750,-750,3500,3570,0.02,No,0,3194.313689,-305.6863107,0,0,0,3550,2350,2950,50,0.01,1-2%,Increase,Yes,3550,3550,2350,2950,38500,39050,20796.601,25792.5,1890.600091,2344.772727,0.1,12.1,22876.2611,0.014285714,0,0,12.1,28371.75,7575.149,,0.364249379,5.324,6.776,0,0,0,15888.18,15888.18,0,0,0,4995.899,770,-4225.899
EHR,Economic History Review,N-Society Owned,,,,3000,2000,2500,,,SSH,2750,None,None,-500,2250,No,0,2250,0,2500,2500,No direct competitors,0,2500,2500,2500,-500,3000,3060,0.02,No,0,,,,,,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,0,0,0,0,0,0,0.1,0,0,0.016666667,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIP,Early Intervention in Psychiatry,O-Proprietary Owned,4100,2750,3400,4100,2750,3400,0,0,Health Sci,3250,0.944,0.9,900,4150,No,0,4150,14,0,4150,No direct competitors,0,4150,4150,4150,50,4200,4284,0.044878049,No,0,1274.280456,-2925.719544,0,6.421694117,0,4300,2900,3550,200,0.05,3-5%,Increase,Yes,4300,4300,2900,3550,57400,60200,35014.22688,37215.56816,2501.016205,2658.254868,0.1,15.4,38515.64956,0.048780488,0,0,15.4,40937.12497,5922.898097,,0.169156901,6.776,8.624,14885.65944,1063.261388,7204.659168,22924.78998,30129.44915,14645.56816,1046.112011,16110.12497,2201.341281,1148,-1053.341281
EJE,European Journal of Dental Education,O-Proprietary Owned,3300,2200,2750,3300,2200,2750,0,0,Health Sci,3250,0.819,0.8,800,4050,No,0,4050,27,500,4550,No direct competitors,0,4550,4550,4550,1250,4600,4692,0.421818182,No,0,753.0571126,-3846.942887,0,198.8878058,0,4700,3100,3900,1400,0.42,over 40%,Increase,Yes,4700,4700,3100,3900,89100,126900,96244.2662,112086.6041,3564.602452,4151.355709,0.1,29.7,105868.6928,0.424242424,-0.2,-0.084848485,27.18,112833.8482,16589.58196,,0.172369561,11.9592,15.2208,34926.67292,1293.580479,15470.18766,63186.95497,78657.14263,32406.19137,1200.22931,32622.23265,15842.33793,1782,-14060.33793
EJED,European Journal of Education,O-Proprietary Owned,2600,1750,2150,2600,1750,2150,0,0,SSH,2750,0.648,0.6,600,3350,No,0,3350,8,0,3350,No direct competitors,0,3350,3350,3350,750,3400,3468,0.333846154,No,0,14188.63394,10788.63394,Subscription revenue considerably higher than APC - please review,0,0,3450,2350,2850,850,0.33,31-35%,Increase,Yes,3450,3450,2350,2850,20800,27600,17538.85037,25833.11906,2192.356297,3229.139882,0.1,8.8,19292.73541,0.326923077,-0.1,-0.032692308,8.512307692,27487.43226,9948.581888,,0.567231128,3.745415385,4.766892308,10597.56065,1324.695081,4961.533336,15392.96207,20354.4954,10458.11906,1307.264882,11127.84091,8294.268687,416,-7878.268687
EJH,European Journal of Haematology,O-Proprietary Owned,3400,2250,2850,3400,2250,2850,0,0,Health Sci,3250,0.15,0.2,-100,3150,No,0,3150,22,500,3650,No direct competitors,0,3650,3650,3650,250,3700,3774,0.11,No,0,891.939078,-2808.060922,0,1.176241135,0,3750,2500,3150,350,0.1,16-20%,Increase,Yes,3750,3750,2500,3150,74800,82500,55849.58213,83516.78833,2538.617369,3796.217652,0.1,24.2,61434.54034,0.102941176,0,0,24.2,91868.46717,36018.88504,,0.64492667,10.648,13.552,35758.24819,1625.374918,17306.99212,51446.34161,68753.33374,35816.78833,1628.035833,39398.46717,27667.20621,1496,-26171.20621
EJHF,European Journal of Heart Failure,N-Society Owned,4300,2850,3600,4700,3100,3950,400,0.093023256,Health Sci,3250,0.798,0.8,800,4050,No,0,4050,17,0,4050,No direct competitors,0,4050,4050,4050,-650,4700,4794,0.02,No,0,4335.267705,-364.7322948,0,2.640377671,0,4800,3150,4050,100,0.02,1-2%,Increase,Yes,4800,4800,3150,4050,79900,81600,55225.17,57598.18625,3248.539412,3388.128603,0.1,18.7,60747.687,0.021276596,0,0,18.7,63358.00488,8132.834875,,0.147266815,8.228,10.472,29527.2025,1736.894265,14291.16601,35480.48273,49771.64874,29628.18625,1742.834485,32591.00488,2373.01625,1598,-775.01625
EJI,European Journal of Immunology,O-Proprietary Owned,3500,2500,3000,3850,2750,3300,350,0.1,Life Sci,3250,0.368,0.4,300,3550,No,0,3550,19,0,3550,No direct competitors,0,3550,3550,3550,-300,3900,3978,0.033246753,No,0,2865.6962,-1034.3038,0,0,0,4000,2850,3450,150,0.04,3-5%,Increase,Yes,4000,4000,2850,3450,73150,76000,44605.136,48427.44007,2347.638737,2548.812635,0.1,20.9,49065.6496,0.038961039,0,0,20.9,53270.18408,8665.048076,,0.194261219,9.196,11.704,8748.244138,460.433902,4234.150163,29831.30308,34065.45325,8602.440069,452.7600036,9462.684076,3822.304069,1463,-2359.304069
EJIC,European Journal of Inorganic Chemistry,N-Society Owned,3500,2350,2900,3700,2500,3050,200,0.057142857,Physical Sci,3500,0.012,0,-500,3000,No,0,3000,3,-500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,14146.48859,10446.48859,Subscription revenue considerably higher than APC - please review,0,0,3750,2550,3100,50,0.01,1-2%,Increase,Yes,3750,3750,2550,3100,11100,11250,7500,7650,2500,2550,0.1,3.3,8250,0.013513514,0,0,3.3,8415,915,,0.122,1.452,1.848,7800,2600,3775.2,4712.4,8487.6,7650,2550,8415,150,222,72
EJLT,European Journal of Lipid Science and Technology,O-Proprietary Owned,3800,2550,3150,3800,2550,3150,0,0,Life Sci,3250,0.97,1,1000,4250,No,0,4250,9,0,4250,No direct competitors,0,4250,4250,4250,450,4300,4386,0.154210526,No,0,5936.068718,1636.068718,0,0,0,4400,2950,3650,600,0.16,16-20%,Increase,Yes,4400,4400,2950,3650,34200,39600,23908.51925,24992.41538,2656.502139,2776.935042,0.1,9.9,26299.37118,0.157894737,-0.1,-0.015789474,9.743684211,27057.57812,3149.058869,,0.131712836,4.287221053,5.456463158,13975.4365,1552.826278,6657.309509,15152.24375,21809.55326,13769.91538,1529.990597,14907.74522,1083.896125,684,-399.896125
EJN,European Journal of Neuroscience,J-Joint Owned,3000,2000,2500,3000,2000,2500,0,0,Life Sci,3250,0.558,0.6,600,3850,No,0,3850,8,0,3850,No direct competitors,0,3850,3850,3850,850,3900,3978,0.326,No,0,2338.182262,-1561.817738,0,0,0,4000,2650,3350,1000,0.33,31-35%,Increase,Yes,4000,4000,2650,3350,24000,32000,30104.1,31365,3763.0125,3920.625,0.1,8.8,33114.51,0.333333333,-0.2,-0.066666667,8.213333333,32201.4,2097.3,,0.069668251,3.613866667,4.599466667,4150,518.75,1874.693333,18032.784,19907.47733,4100,512.5,4209.333333,1260.9,480,-780.9
EJOC,European Journal of Organic Chemistry,N-Society Owned,3500,2350,2900,3850,2600,3200,350,0.1,Physical Sci,3500,0.155,0.2,-100,3400,No,0,3400,1,-500,2900,No direct competitors,0,2900,2900,2900,-950,3900,3978,0.033246753,No,0,6226.473741,2326.473741,Subscription revenue considerably higher than APC - please review,0,0,4000,2700,3350,150,0.04,3-5%,Increase,Yes,4000,4000,2700,3350,3850,4000,2563.0795,3844.61925,2563.0795,3844.61925,0.1,1.1,2819.38745,0.038961039,0,0,1.1,4229.081175,1666.001675,,0.65,0.484,0.616,3893.90924,3893.90924,1884.652072,2368.285458,4252.93753,3844.61925,3844.61925,4229.081175,1281.53975,77,-1204.53975
EJOP,European Journal of Philosophy,O-Proprietary Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,0.467,0.5,500,3250,No,0,3250,2,-500,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,13982.85049,11182.85049,Subscription revenue considerably higher than APC - please review,0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,5000,5700,4104.095,4507.169506,2052.0475,2253.584753,0.1,2.2,4514.5045,0.14,0,0,2.2,4957.886457,853.7914571,,0.208034038,0.968,1.232,0,0,0,2776.416416,2776.416416,0,0,0,403.0745065,100,-303.0745065
EJP,European Journal of Pain,N-Society Owned,4000,2667,3333,4000,2667,3333,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,0,2500,2500,No direct competitors,0,2500,2500,2500,-1500,4000,4080,0.02,No,0,1198.962613,-2801.037387,0,0,0,4100,2750,3450,100,0.03,3-5%,Increase,Yes,4100,4100,2750,3450,0,0,0,0,0,0,0.1,0,0,0.025,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EJPR,European Journal of Political Research,N-Society Owned,3600,2400,3000,3600,2400,3000,0,0,SSH,2750,0.96,1,1000,3750,No,0,3750,12,0,3750,No direct competitors,0,3750,3750,3750,150,3800,3876,0.076666667,No,0,7165.582631,3365.582631,Subscription revenue considerably higher than APC - please review,0,0,3900,2600,3250,300,0.08,6-10%,Increase,Yes,3900,3900,2600,3250,43200,46800,50421.242,51293.31404,4201.770167,4274.442837,0.1,13.2,55463.3662,0.083333333,0,0,13.2,56422.64545,6001.403449,,0.1190253,5.808,7.392,27438.35007,2286.529172,13280.16143,31596.68145,44876.84288,26553.242,2212.770167,29208.5662,872.0720444,864,-8.072044444
EJSP,European Journal of Social Psychology,O-Proprietary Owned,3000,2000,2500,3000,2000,2500,0,0,SSH,2750,0.225,0.2,-100,2650,No,0,2650,5,-500,2150,No direct competitors,0,2150,2150,2150,-850,3000,3060,0.02,No,0,4751.3645,1751.3645,0,0,0,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,15000,15250,12353,15795,2470.6,3159,0.1,5.5,13588.3,0.016666667,0,0,5.5,17374.5,5021.5,,0.406500445,2.42,3.08,3950,790,1911.8,9729.72,11641.52,3900,780,4290,3442,300,-3142
EJSS,European Journal of Soil Science,N-Society Owned,4000,2650,3350,4100,2700,3450,100,0.025,Life Sci,3250,0.712,0.7,700,3950,No,0,3950,8,0,3950,No direct competitors,0,3950,3950,3950,-150,4100,4182,0.02,No,0,6925.505308,2825.505308,Subscription revenue considerably higher than APC - please review,1.468708306,0,4200,2750,3500,100,0.02,1-2%,Increase,Yes,4200,4200,2750,3500,32800,33600,23291.95206,24741.67716,2911.494008,3092.709645,0.1,8.8,25621.14727,0.024390244,0,0,8.8,27215.84487,3923.892809,,0.168465606,3.872,4.928,16875.25219,2109.406523,8167.622059,15240.87313,23408.49519,16634.17716,2079.272145,18297.59487,1449.725094,656,-793.7250937
ELAN,Electroanalysis,O-Proprietary Owned,3000,2000,2500,3300,2200,2750,300,0.1,Physical Sci,3500,0.619,0.6,600,4100,No,0,4100,4,-500,3600,No direct competitors,0,3600,3600,3600,300,3600,3672,0.112727273,No,0,7687.010556,4087.010556,Subscription revenue considerably higher than APC - please review,0,0,3650,2450,3050,350,0.11,11-15%,Increase,Yes,3650,3650,2450,3050,13200,14600,12376.75,12937.5,3094.1875,3234.375,0.1,4.4,13614.425,0.106060606,0,0,4.4,14231.25,1854.5,,0.149837397,1.936,2.464,3500,875,1694,7969.5,9663.5,3450,862.5,3795,560.75,264,-296.75
ELE,Ecology Letters,J-Joint Owned,4500,3000,3750,4800,3200,4000,300,0.066666667,Life Sci,3250,0.316,0.3,100,3350,No,0,3350,3,-500,2850,No direct competitors,0,2850,2850,2850,-1950,4800,4896,0.02,No,0,1945.090505,-2854.909495,0,47.09008012,0,4900,3250,4100,100,0.02,1-2%,Increase,Yes,4900,4900,3250,4100,14400,14700,7865.756588,8342.918449,2621.918863,2780.972816,0.1,3.3,8652.332246,0.020833333,0,0,3.3,9177.210294,1311.453706,,0.166729506,1.452,1.848,5838.830311,1946.27677,2825.99387,5139.237765,7965.231635,5755.418449,1918.472816,6330.960294,477.1618616,288,-189.1618616
ELPS,ELECTROPHORESIS,O-Proprietary Owned,3500,2333,2917,3850,2550,3200,350,0.1,Life Sci,3250,0.71,0.7,700,3950,No,0,3950,3,-500,3450,No direct competitors,0,3450,3450,3450,-400,3900,3978,0.033246753,No,0,339.7839731,-3560.216027,0,0,0,4000,2650,3350,150,0.04,3-5%,Increase,Yes,4000,4000,2650,3350,11550,12000,8063,8542.5,2687.666667,2847.5,0.1,3.3,8869.3,0.038961039,0,0,3.3,9396.75,1333.75,,0.165416098,1.452,1.848,3400,1133.333333,1645.6,5262.18,6907.78,3350,1116.666667,3685,479.5,231,-248.5
EM,Environmental and Molecular Mutagenesis,N-Society Owned,3000,2000,2500,3300,2200,2750,300,0.1,Health Sci,3250,0.702,0.7,700,3950,No,0,3950,15,0,3950,No direct competitors,0,3950,3950,3950,650,4000,4080,0.236363636,No,0,1750.123453,-2249.876547,0,201.7901348,0,4100,2750,3400,800,0.24,21-25%,Increase,Yes,4100,4100,2750,3400,49500,61500,54922.95543,57601.008,3661.530362,3840.0672,0.1,16.5,60415.25097,0.242424242,-0.1,-0.024242424,16.1,61825.08192,6902.126491,,0.125669248,7.084,9.016,32574.23428,2171.615619,15383.72504,34622.04587,50005.77092,33091.008,2206.0672,35517.68192,2678.052571,990,-1688.052571
EMBJ,The EMBO Journal,N-Society Owned,5200,4200,4700,5200,4200,4700,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,7,0,2750,No direct competitors,0,2750,2750,2750,-2450,5200,5304,0.02,No,0,4105.932899,-1094.067101,0,4.853623188,0,5300,4300,4800,100,0.02,1-2%,Increase,Yes,5300,5300,4300,4800,36400,37100,18442.25,19703.125,2634.607143,2814.732143,0.1,7.7,20286.475,0.019230769,0,0,7.7,21673.4375,3231.1875,,0.17520571,3.388,4.312,9281.25,1325.892857,4492.125,12137.125,16629.25,9140.625,1305.803571,10054.6875,1260.875,728,-532.875
EMBR,EMBO Reports,N-Society Owned,5200,4200,4700,5200,4200,4700,0,0,Life Sci,3250,0.25,0.3,100,3350,No,0,3350,12,0,3350,No direct competitors,0,3350,3350,3350,-1850,5200,5304,0.02,No,0,8214.245079,3014.245079,Subscription revenue considerably higher than APC - please review,0,0,5300,4300,4800,100,0.02,1-2%,Increase,Yes,5300,5300,4300,4800,62400,63600,38000,39000,3166.666667,3250,0.1,13.2,41800,0.019230769,0,0,13.2,42900,4900,,0.128947368,5.808,7.392,39500,3291.666667,19118,24024,43142,39000,3250,42900,1000,1248,248
EMED,Early Medieval Europe,O-Proprietary Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,None,None,-500,2250,No,0,2250,80,500,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,0,-2800,0,0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,200000,228000,263937.0751,280406.4247,3299.213439,3505.080308,0.1,88,290330.7826,0.14,0,0,88,308447.0671,44509.99205,,0.16863865,38.72,49.28,57397.73095,717.4716369,27780.50178,172730.3576,200510.8594,56689.11699,708.6139623,62358.02869,16469.34958,4000,-12469.34958
EMI,Environmental Microbiology,J-Joint Owned,4200,3000,3600,4200,3000,3600,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,9,0,2750,No direct competitors,0,2750,2750,2750,-1450,4200,4284,0.02,No,0,0,-4200,0,0,0,4300,3050,3650,100,0.02,1-2%,Increase,Yes,4300,4300,3050,3650,37800,38700,29549.4225,31973.76667,3283.269167,3552.640741,0.1,9.9,32504.36475,0.023809524,0,0,9.9,35171.14333,5621.720833,,0.190248078,4.356,5.544,12123.43875,1347.04875,5867.744355,19695.84027,25563.58462,12473.76667,1385.974074,13721.14333,2424.344167,756,-1668.344167
EMI4,Environmental Microbiology Reports,J-Joint Owned,3600,2400,3000,3600,2400,3000,0,0,Life Sci,3250,0.862,0.9,900,4150,No,0,4150,122,500,4650,No direct competitors,0,4650,4650,4650,1050,4700,4794,0.331666667,No,0,556.8177306,-4143.182269,0,5083.469207,Corporate revenue exceeds,4800,3200,4000,1200,0.33,31-35%,Increase,Yes,4800,4800,3200,4000,439200,585600,512578.853,529756.5634,4201.466008,4342.266913,0.1,134.2,563836.7383,0.333333333,-0.2,-0.066666667,125.2533333,543883.4051,31304.55208,,0.061072656,55.11146667,70.14186667,414241.9956,3395.426194,187126.9175,304574.7069,491701.6244,384348.2434,3150.395437,394597.5299,17177.71039,8784,-8393.710389
EMIP,Educational Measurement: Issues and Practices,N-Society Owned,0,0,0,3000,2350,2700,3000,0,SSH,2750,0.851,0.9,900,3650,No,0,3650,2,-500,3150,No direct competitors,0,3150,3150,3150,150,3200,3264,0.088,No,0,,,,,,3250,2550,2900,250,0.08,6-10%,Increase,Yes,3250,3250,2550,2900,6000,6500,5000,5181.818182,2500,2590.909091,0.1,2.2,5500,0.083333333,0,0,2.2,5700,700,,0.14,0.968,1.232,5272.727273,2636.363636,2552,3192,5744,5181.818182,2590.909091,5700,181.8181818,120,-61.81818182
EMM,Emergency Medicine Australasia,N-Society Owned,3300,2200,2750,3300,2200,2750,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,2,-500,2250,No direct competitors,0,2250,2250,2250,-1050,3300,3366,0.02,No,0,1119.753944,-2180.246056,0,0,0,3350,2250,2800,50,0.02,1-2%,Increase,Yes,3350,3350,2250,2800,6600,6700,3966.032,4080,1983.016,2040,0.1,2.2,4362.6352,0.015151515,0,0,2.2,4488,521.968,,0.131609629,0.968,1.232,0,0,0,2513.28,2513.28,0,0,0,113.968,132,18.032
EMR,Ecological Management & Restoration,J-Joint Owned,2500,1667,2083,2500,1667,2083,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,17,0,2750,No direct competitors,0,2750,2750,2750,250,2800,2856,0.1424,No,0,0,-2800,0,0,0,2850,1900,2350,350,0.14,11-15%,Increase,Yes,2850,2850,1900,2350,42500,48450,36620.68875,53309.25167,2154.158162,3135.838333,0.1,18.7,40282.75763,0.14,0,0,18.7,58640.17683,22019.48808,,0.601285471,8.228,10.472,10640.61731,625.9186654,5150.058779,32838.49903,37988.55781,10509.25167,618.1912745,11560.17683,16688.56292,850,-15838.56292
EMRE,European Management Review,N-Society Owned,2500,1650,2100,2500,1650,2100,0,0,SSH,2750,0.684,0.7,700,3450,No,0,3450,7,0,3450,No direct competitors,0,3450,3450,3450,950,3500,3570,0.428,No,0,6901.015868,3401.015868,Subscription revenue considerably higher than APC - please review,0,0,3550,2350,3000,1050,0.42,over 40%,Increase,Yes,3550,3550,2350,3000,17500,24850,21659.22256,28896.36758,3094.174651,4128.052511,0.1,7.7,23825.14482,0.42,-0.2,-0.084,7.0532,29115.97997,7456.757411,,0.344276319,3.103408,3.949792,4192.438328,598.9197611,1858.692378,16304.94878,18163.64116,4146.367577,592.3382253,4177.879971,7237.145017,350,-6887.145017
ENE,European Journal of Neurology,N-Society Owned,4100,2733,3417,4100,2733,3417,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,2,-500,2250,No direct competitors,0,2250,2250,2250,-1850,4100,4182,0.02,No,0,2435.205616,-1664.794384,0,0,0,4200,2800,3500,100,0.02,1-2%,Increase,Yes,4200,4200,2800,3500,8200,8400,4232.949,7282.13428,2116.4745,3641.06714,0.1,2.2,4656.2439,0.024390244,0,0,2.2,8010.347708,3777.398708,,0.892379924,0.968,1.232,3669.31026,1834.65513,1775.946166,4485.794716,6261.740882,3627.13428,1813.56714,3989.847708,3049.18528,164,-2885.18528
ENR,Entomological Research,J-Joint Owned,2500,1667,2083,2500,1667,2083,0,0,Life Sci,3250,0.467,0.5,500,3750,No,0,3750,1,-500,3250,No direct competitors,0,3250,3250,3250,750,3300,3366,0.3464,No,0,0,-3300,0,0,0,3350,2250,2800,850,0.34,31-35%,Increase,Yes,3350,3350,2250,2800,2500,3350,2754.85,2950,2754.85,2950,0.1,1.1,3030.335,0.34,-0.1,-0.034,1.0626,3134.67,379.82,,0.137873205,0.467544,0.595056,0,0,0,1755.4152,1755.4152,0,0,0,195.15,50,-145.15
ENS,Entomological Science,N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,Life Sci,3250,None,None,-500,2750,No,0,2750,0,2500,2500,No direct competitors,0,2500,2500,2500,-500,3000,3060,0.02,No,0,0,-3000,0,0,0,3050,2050,2550,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2550,0,0,0,0,0,0,0.1,0,0,0.016666667,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTE,Energy Technology,O-Proprietary Owned,3800,2550,3150,4000,2700,3300,200,0.052631579,Physical Sci,3500,0.954,1,1000,4500,No,0,4500,47,500,5000,No direct competitors,0,5000,5000,5000,1000,5000,5100,0.275,No,0,2446.762802,-2553.237198,0,191.8277378,0,5100,3450,4200,1100,0.28,26-30%,Increase,Yes,5100,5100,3450,4200,188000,239700,162072.3038,174446.9598,3448.346888,3711.637442,0.1,51.7,178279.5341,0.275,-0.2,-0.055,48.8565,181337.6147,19265.31095,,0.118868619,21.49686,27.35964,72510.41281,1542.774741,33164.81261,101549.0642,134713.8768,71876.95979,1529.297017,74716.0997,12374.65604,3760,-8614.656042
ENV,Environmetrics,O-Proprietary Owned,3700,2450,3100,3700,2450,3100,0,0,Physical Sci,3500,0.478,0.5,500,4000,No,0,4000,19,0,4000,No direct competitors,0,4000,4000,4000,300,4000,4080,0.102702703,No,0,824.6290588,-3175.370941,0,8.848647059,0,4100,2700,3450,400,0.11,11-15%,Increase,Yes,4100,4100,2700,3450,70300,77900,58404.64278,59617.25304,3073.928567,3137.75016,0.1,20.9,64245.10705,0.108108108,0,0,20.9,65578.97834,7174.335569,,0.122838446,9.196,11.704,48203.63962,2537.033664,23330.56158,36724.22787,60054.78945,50250.31032,2644.753175,55275.34135,1212.610265,1406,193.3897347
EOS,European Journal of Oral Sciences,N-Society Owned,3000,2000,2500,3300,2200,2750,300,0.1,Health Sci,3250,0.286,0.3,100,3350,No,0,3350,1,-500,2850,No direct competitors,0,2850,2850,2850,-450,3300,3366,0.02,No,0,2677.107797,-622.8922027,0,0,0,3350,2250,2800,50,0.02,1-2%,Increase,Yes,3350,3350,2250,2800,3300,3350,2478.77,3550,2478.77,3550,0.1,1.1,2726.647,0.015151515,0,0,1.1,3905,1426.23,,0.575378111,0.484,0.616,0,0,0,2186.8,2186.8,0,0,0,1071.23,66,-1005.23
EP,Environmental Progress & Sustainable Energy,N-Society Owned,3500,2333,2917,3500,2333,2917,0,0,Physical Sci,3500,0.225,0.2,-100,3400,No,0,3400,10,0,3400,No direct competitors,0,3400,3400,3400,-100,3500,3570,0.02,No,0,2571.585783,-928.4142173,0,0,0,3550,2350,2950,50,0.01,1-2%,Increase,Yes,3550,3550,2350,2950,35000,35500,25668.03,26818.93467,2566.803,2681.893467,0.1,11,28234.833,0.014285714,0,0,11,29500.82813,3832.798133,,0.149321866,4.84,6.16,8813.589333,881.3589333,4265.777237,16520.46375,20786.24099,8671.434667,867.1434667,9538.578133,1150.904667,700,-450.9046667
EPA2,European Policy Analysis,N-Society Owned,3000,2000,2700,3000,2000,2700,0,0,SSH,2750,0,0,-500,2250,No,0,2250,3,-500,1750,No direct competitors,0,1750,1750,1750,-1250,3000,3060,0.02,No,0,7011.75505,4011.75505,Subscription revenue considerably higher than APC - please review,0,0,3050,2050,2750,50,0.02,1-2%,Increase,Yes,3050,3050,2050,2750,9000,9150,7500,13500,2500,4500,0.1,3.3,8250,0.016666667,0,0,3.3,14850,7350,,0.98,1.452,1.848,13650,4550,6606.6,8316,14922.6,13500,4500,14850,6000,180,-5820
EPDY,European Journal of Political Research Political Data Yearbook,N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,SSH,2750,0.873,0.9,900,3650,No,0,3650,37,500,4150,No direct competitors,0,4150,4150,4150,1150,4200,4284,0.428,No,0,4314.799725,114.7997248,0,0,0,4300,2850,3600,1300,0.43,over 40%,Increase,Yes,4300,4300,2850,3600,111000,159100,99952.04725,104789.9514,2701.406682,2832.160848,0.1,40.7,109947.252,0.433333333,-0.2,-0.086666667,37.17266667,105278.9711,5326.923898,,0.053294795,16.35597333,20.81669333,45833.9805,1238.75623,20261.06386,58956.22384,79217.2877,45159.95138,1220.539226,45370.69781,4837.904125,2220,-2617.904125
